Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,735.36M,868.63M,960.84M,1.17B,999.58M
Cash & Short Term Investments Growth,-,18.12%,10.62%,21.91%,-14.66%
Cash Only,636.9M,550.43M,960.84M,1.1B,942.05M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,35.83%,34.74%,19.89%,19.71%,16.81%
Total Accounts Receivable,439.01M,620.98M,708.36M,897.2M,1B
Total Accounts Receivable Growth,-,41.45%,14.07%,26.66%,11.48%
"Accounts Receivables, Net",439.01M,550.29M,657.7M,897.2M,859.69M
"Accounts Receivables, Gross",441.39M,557.05M,667.94M,906.44M,870.03M
Bad Debt/Doubtful Accounts,(2.38M),(6.76M),(10.24M),(9.25M),(10.34M)
Other Receivable,-,70.69M,50.65M,-,140.48M
Accounts Receivable Turnover,4.48,3.88,3.49,4.41,3.73
Inventories,55.64M,112.05M,139.24M,230.23M,338.75M
Finished Goods,15.74M,26.13M,31.39M,55.29M,69.44M
Work in Progress,13.78M,30.97M,31.44M,51.71M,96.56M
Raw Materials,26.12M,54.95M,76.4M,123.23M,172.76M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,72.47M,31.77M,41.1M,195.31M,85.89M
Miscellaneous Current Assets,72.47M,24.64M,20.99M,125.09M,16.76M
Total Current Assets,1.3B,1.63B,1.85B,2.49B,2.42B
"Net Property, Plant & Equipment",521.33M,687.97M,817.27M,1.2B,1.35B
"Property, Plant & Equipment - Gross",693.06M,917.49M,1.12B,1.56B,1.8B
Buildings,139.32M,209.64M,244.17M,310.34M,466M
Land & Improvements,17.63M,26.42M,34.6M,58.87M,58.89M
Computer Software and Equipment,93.91M,100.92M,108.07M,117.99M,120.54M
"Other Property, Plant & Equipment",110.6M,97.7M,113.57M,133.27M,167.17M
Accumulated Depreciation,171.73M,229.52M,301.25M,359.1M,449.73M
Total Investments and Advances,64.89M,5.89M,-,125.32M,41.98M
Other Long-Term Investments,9.11M,-,-,125.32M,41.98M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,81.95M,75.69M,574.89M,528.26M,503.27M
Net Goodwill,64.03M,63.92M,444.82M,418.55M,407.55M
Net Other Intangibles,17.92M,11.77M,130.07M,109.71M,95.72M
Other Assets,17.13M,33.72M,35.15M,57.51M,55.83M
Total Assets,2.05B,2.5B,4.83B,5.94B,5.95B
Total Assets Growth,-,21.84%,93.13%,23.03%,0.10%
