Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.3B,1.58B,1.86B,2.34B,2.14B
Cash & Short Term Investments Growth,-,20.93%,17.96%,25.89%,-8.65%
Cash Only,1.3B,1.58B,1.86B,2.34B,2.14B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,672.4M,676.9M,761.3M,1.08B,1.13B
Short Term Receivables Growth,-,0.67%,12.47%,42.18%,4.00%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,-,-,-,37.1M,29.2M
"Net Property, Plant & Equipments",11.25B,12.08B,12.81B,19.78B,28.92B
Other Assets (Including Intangibles),19.63B,20.97B,23.89B,37.28B,34.85B
Other Assets,2.95B,2.48B,2.77B,3.21B,3.91B
Intangible Assets,16.68B,18.5B,21.12B,34.08B,30.94B
Total Assets,33.01B,42.8B,47.23B,69.89B,67.19B
Total Assets Growth,-,29.66%,10.35%,47.96%,-3.85%
Return On Average Assets,-,-,-,-,2.58%
