Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,272.13M,242.69M,597.71M,415.23M,857.98M
Cash & Short Term Investments Growth,-,-10.82%,146.28%,-30.53%,106.63%
Cash Only,272.13M,242.69M,597.71M,415.23M,857.98M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,10.33M,11.13M,10.76M,20.47M,27.49M
Short Term Receivables Growth,-,7.75%,-3.32%,90.27%,34.31%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,894.87M,1.14B,1.61B,1.8B,1.55B
"Net Property, Plant & Equipments",95.81M,462.03M,520.66M,652.1M,729.97M
Other Assets (Including Intangibles),1B,1.3B,1.63B,2.17B,2.27B
Other Assets,851.13M,1.02B,1.16B,1.56B,1.65B
Intangible Assets,150.34M,281.65M,462.32M,609.87M,615.64M
Total Assets,14.46B,18.39B,22.83B,30.22B,35.52B
Total Assets Growth,-,27.14%,24.13%,32.38%,17.55%
Return On Average Assets,-,-,-,-,1.56%
