Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,6.91B,5.96B,3.99B,4.65B,4.78B
Cash & Short Term Investments Growth,-,-13.79%,-33.03%,16.48%,2.91%
Cash Only,6.91B,5.96B,3.99B,4.65B,4.78B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,847.9M,839M,1.23B,1.43B,1.26B
Short Term Receivables Growth,-,-1.05%,46.97%,15.82%,-11.44%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,2.76B,2.93B,4.66B,6.52B,8.78B
"Net Property, Plant & Equipments",535M,683.7M,1.35B,1.22B,1.21B
Other Assets (Including Intangibles),2.54B,3.17B,9.69B,9.41B,11.15B
Other Assets,203.4M,176.9M,275.4M,244.4M,292.6M
Intangible Assets,2.33B,2.99B,9.42B,9.17B,10.86B
Total Assets,14.38B,14.53B,21.68B,24.17B,28.06B
Total Assets Growth,-,1.03%,49.22%,11.45%,16.10%
Return On Average Assets,-,-,-,-,4.74%
