Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,863.94M,1.09B,2.04B,2.54B,1.4B
Cash & Short Term Investments Growth,-,26.60%,86.45%,24.55%,-44.69%
Cash Only,863.94M,1.09B,2.04B,2.54B,1.4B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,5.39B,5.88B,6.22B,6.84B,6.26B
Short Term Receivables Growth,-,9.13%,5.72%,9.95%,-8.51%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,-,-,-,-,-
"Net Property, Plant & Equipments",721.69M,1.83B,1.84B,1.86B,1.87B
Other Assets (Including Intangibles),6.21B,6.7B,7.12B,9.15B,9.23B
Other Assets,1.12B,1.57B,1.94B,1.75B,2.17B
Intangible Assets,5.09B,5.13B,5.19B,7.4B,7.06B
Total Assets,13.46B,16.2B,18.04B,22.07B,20.51B
Total Assets Growth,-,20.36%,11.37%,22.36%,-7.07%
Return On Average Assets,-,-,-,-,6.61%
