Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,676.8M,880.78M,951.6M,1.08B,899.14M
Cash & Short Term Investments Growth,-,30.14%,8.04%,13.11%,-16.46%
Cash Only,249.95M,480.63M,607.99M,815.37M,384M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,28.16%,14.88%,13.82%,14.08%,11.25%
Total Accounts Receivable,62.31M,108.25M,387.28M,193.66M,154.62M
Total Accounts Receivable Growth,-,73.72%,257.77%,-49.99%,-20.16%
"Accounts Receivables, Net",62.31M,80.55M,104.5M,99.6M,106.88M
"Accounts Receivables, Gross",62.31M,80.55M,106.09M,99.6M,106.88M
Bad Debt/Doubtful Accounts,-,(7K),(1.59M),-,-
Other Receivable,-,27.71M,282.78M,94.06M,47.74M
Accounts Receivable Turnover,78.07,51.61,15.45,38.97,55.84
Inventories,21.56M,26.1M,26.45M,32.83M,35.67M
Finished Goods,-,-,-,-,35.67M
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,54.13M,57.08M,54.91M,78.76M,86.41M
Miscellaneous Current Assets,54.13M,57.08M,54.91M,78.76M,86.41M
Total Current Assets,814.79M,1.07B,1.42B,1.38B,1.18B
"Net Property, Plant & Equipment",1.38B,3.96B,4.35B,4.89B,5.25B
"Property, Plant & Equipment - Gross",2.46B,5.17B,5.73B,6.42B,6.99B
Buildings,1.69B,1.77B,1.92B,2.09B,2.32B
Land & Improvements,12.94M,12.94M,12.94M,12.94M,12.94M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",173.25M,182.39M,198.39M,222.77M,242.17M
Accumulated Depreciation,1.08B,1.2B,1.38B,1.54B,1.73B
Total Investments and Advances,30.2M,40.67M,139.71M,333.75M,424.72M
Other Long-Term Investments,30.2M,40.67M,130.18M,324.5M,413.02M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,21.94M,21.94M,21.94M,21.94M,21.94M
Net Goodwill,21.94M,21.94M,21.94M,21.94M,21.94M
Net Other Intangibles,-,-,-,-,-
Other Assets,19.33M,5.64M,49.52M,28.14M,51.46M
Total Assets,2.4B,5.92B,6.89B,7.64B,7.99B
Total Assets Growth,-,146.22%,16.35%,11.01%,4.53%
