Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,174M,157M,49M,476M,182M
Cash & Short Term Investments Growth,-,-9.77%,-68.79%,871.43%,-61.76%
Cash Only,174M,157M,49M,476M,182M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.71%,0.59%,0.17%,1.66%,0.58%
Total Accounts Receivable,1.23B,1.13B,872M,943M,1.58B
Total Accounts Receivable Growth,-,-8.23%,-22.56%,8.14%,67.55%
"Accounts Receivables, Net",1.23B,1.13B,872M,943M,1.58B
"Accounts Receivables, Gross",1.27B,1.18B,901M,963M,1.61B
Bad Debt/Doubtful Accounts,(44M),(53M),(29M),(20M),(27M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,5.60,6.08,7.36,7.77,5.44
Inventories,650M,605M,576M,667M,1.12B
Finished Goods,57M,66M,68M,37M,65M
Work in Progress,-,-,-,-,-
Raw Materials,593M,539M,508M,630M,1.05B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,417M,443M,907M,541M,554M
Miscellaneous Current Assets,417M,443M,907M,541M,554M
Total Current Assets,2.47B,2.33B,2.4B,2.63B,3.43B
"Net Property, Plant & Equipment",18.13B,18.97B,21.05B,22.38B,22.74B
"Property, Plant & Equipment - Gross",25.16B,26.33B,28.99B,30.88B,31.7B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",2.18B,2.1B,27.87B,29.89B,30.49B
Accumulated Depreciation,7.04B,7.36B,7.94B,8.5B,8.96B
Total Investments and Advances,69M,71M,70M,71M,71M
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,1.65B,2.28B,19M,30M,23M
Intangible Assets,-,-,-,-,-
Net Goodwill,-,-,-,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,2.22B,3.18B,6.12B,3.65B,5.08B
Total Assets,24.53B,26.84B,29.67B,28.75B,31.35B
Total Assets Growth,-,9.41%,10.54%,-3.08%,9.04%
