Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,7.26B,9.44B,13.31B,12.18B,11.05B
Cash & Short Term Investments Growth,-,30.10%,40.88%,-8.49%,-9.25%
Cash Only,6.06B,8.38B,12.28B,11.26B,10.2B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,17.78%,20.80%,23.95%,20.54%,17.22%
Total Accounts Receivable,1.67B,1.54B,1.55B,1.8B,2.24B
Total Accounts Receivable Growth,-,-8.03%,0.98%,16.32%,24.29%
"Accounts Receivables, Net",1.67B,1.54B,1.55B,1.8B,2.24B
"Accounts Receivables, Gross",1.67B,1.54B,1.55B,1.8B,2.24B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,84.83,99.48,107.59,108.67,101.27
Inventories,11.04B,11.4B,12.24B,14.22B,17.91B
Finished Goods,11.04B,11.4B,12.24B,14.22B,17.91B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,321M,1.11B,1.02B,1.31B,1.5B
Miscellaneous Current Assets,321M,1.11B,1.02B,1.31B,1.5B
Total Current Assets,20.29B,23.49B,28.12B,29.51B,32.7B
"Net Property, Plant & Equipment",19.68B,20.89B,25.19B,27.38B,29.04B
"Property, Plant & Equipment - Gross",30.71B,32.63B,38.08B,41.55B,44.33B
Buildings,16.11B,17.14B,17.98B,19.14B,20.12B
Land & Improvements,6.19B,6.42B,6.7B,7.51B,7.96B
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,11.03B,11.74B,12.9B,14.17B,15.29B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,-,-,988M,940M,-
Net Goodwill,-,-,988M,940M,-
Net Other Intangibles,-,-,-,-,-
Other Assets,544M,627M,855M,997M,1.99B
Total Assets,40.83B,45.4B,55.56B,59.27B,64.17B
Total Assets Growth,-,11.19%,22.37%,6.68%,8.26%
