Item,2022,2021,2020,2019,2018
Cash & Short Term Investments,2.09B,2.32B,3.13B,1.95B,1.11B
Cash & Short Term Investments Growth,-,10.97%,35.19%,-37.59%,-43.14%
Cash Only,1.96B,2.24B,3.13B,958M,858M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.90%,5.63%,7.77%,5.03%,2.96%
Total Accounts Receivable,1.31B,1.15B,912M,986M,1.01B
Total Accounts Receivable Growth,-,-12.57%,-20.56%,8.11%,2.43%
"Accounts Receivables, Net",-,-,-,-,-
"Accounts Receivables, Gross",-,-,-,-,-
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,11.31,10.91,11.60,12.11,12.13
Inventories,341M,339M,302M,261M,263M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,108M,70M,96M,77M,181M
Miscellaneous Current Assets,-,-,-,-,-
Total Current Assets,3.85B,3.87B,4.44B,3.28B,2.57B
"Net Property, Plant & Equipment",34.75B,33.52B,32.92B,32.7B,32B
"Property, Plant & Equipment - Gross",-,-,-,-,-
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,-,-,-,-,-
Total Investments and Advances,2.42B,2.19B,2.07B,1.97B,1.87B
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,502M,451M,-,-,-
Net Goodwill,-,-,-,-,-
Net Other Intangibles,502M,451M,-,-,-
Other Assets,395M,501M,371M,312M,299M
Total Assets,42.57B,41.14B,40.27B,38.88B,37.48B
Total Assets Growth,-,-3.37%,-2.10%,-3.45%,-3.60%
