Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,2.29M,213.78M,151.69M,1.05B,683M
Cash & Short Term Investments Growth,-,"9,247.75%",-29.04%,589.56%,-34.70%
Cash Only,2.29M,213.78M,151.69M,1.05B,683M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,0.05%,4.69%,3.32%,5.16%,3.35%
Total Accounts Receivable,471.65M,338.82M,220.9M,1.04B,1.31B
Total Accounts Receivable Growth,-,-28.16%,-34.80%,369.45%,26.33%
"Accounts Receivables, Net",361.84M,208.02M,214.26M,1B,1.17B
"Accounts Receivables, Gross",363.07M,209.2M,215.3M,1.01B,1.18B
Bad Debt/Doubtful Accounts,(1.24M),(1.18M),(1.04M),(2M),(2M)
Other Receivable,109.82M,130.8M,6.63M,34M,137M
Accounts Receivable Turnover,4.55,5.86,6.36,3.54,7.26
Inventories,11.08M,13.93M,15.27M,39M,63M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,11.08M,13.93M,15.27M,39M,63M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,59.53M,1.72M,27.86M,14M,155M
Miscellaneous Current Assets,59.53M,1.72M,27.86M,14M,155M
Total Current Assets,544.55M,568.25M,415.72M,2.14B,2.21B
"Net Property, Plant & Equipment",3.46B,3.89B,4.08B,17.69B,17.86B
"Property, Plant & Equipment - Gross",6.01B,6.78B,7.24B,21.53B,23.27B
Buildings,94.71M,104.7M,92.57M,140M,183M
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",5.91B,6.64B,7.12B,21.05B,22.69B
Accumulated Depreciation,2.54B,2.89B,3.17B,3.84B,5.41B
Total Investments and Advances,163.18M,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,8.17M,-,-,-,-
Intangible Assets,-,-,-,-,-
Net Goodwill,-,-,-,-,-
Net Other Intangibles,-,-,-,-,-
Other Assets,19.33M,27.38M,29.47M,72M,82M
Total Assets,4.42B,4.55B,4.57B,20.27B,20.36B
Total Assets Growth,-,2.93%,0.46%,343.05%,0.46%
