Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,237.42M,483.92M,502.15M,490.48M,395.2M
Cash & Short Term Investments Growth,-,103.83%,3.77%,-2.32%,-19.43%
Cash Only,237.42M,483.92M,502.15M,490.48M,395.2M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,25.17%,34.14%,32.04%,29.34%,24.67%
Total Accounts Receivable,190.09M,210.26M,244.56M,255.33M,257.49M
Total Accounts Receivable Growth,-,10.61%,16.31%,4.40%,0.85%
"Accounts Receivables, Net",190.09M,210.26M,244.56M,255.33M,257.49M
"Accounts Receivables, Gross",191.97M,213.12M,246.35M,257.2M,262.25M
Bad Debt/Doubtful Accounts,(1.88M),(2.86M),(1.79M),(1.87M),(4.76M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,18.06,17.21,16.84,17.07,17.62
Inventories,45.98M,52.96M,66.68M,68.33M,81.57M
Finished Goods,42.92M,49.3M,57.12M,61.99M,74.05M
Work in Progress,-,-,-,-,-
Raw Materials,3.05M,3.65M,9.57M,6.33M,7.52M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,93.47M,40.48M,56M,46.41M,56.39M
Miscellaneous Current Assets,93.47M,40.48M,56M,46.41M,56.39M
Total Current Assets,566.95M,787.62M,869.38M,860.54M,790.65M
"Net Property, Plant & Equipment",234.94M,471.67M,525.63M,534.77M,521.44M
"Property, Plant & Equipment - Gross",487.12M,724.11M,808.26M,853.23M,853.91M
Buildings,12.25M,19.37M,19.98M,21.41M,21.76M
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",170.5M,164.07M,186.46M,193.57M,172.73M
Accumulated Depreciation,252.18M,252.45M,282.63M,318.47M,332.47M
Total Investments and Advances,8.72M,11.98M,13.25M,141.27M,139.24M
Other Long-Term Investments,8.72M,11.98M,13.25M,141.27M,139.24M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,78.73M,89.53M,97.27M,110.59M,120.12M
Net Goodwill,14.92M,15.09M,15.06M,15.03M,11.76M
Net Other Intangibles,63.81M,74.44M,82.21M,95.56M,108.35M
Other Assets,12.52M,11.22M,59.73M,22.54M,28.85M
Total Assets,943.08M,1.42B,1.57B,1.67B,1.6B
Total Assets Growth,-,50.31%,10.56%,6.68%,-4.16%
