Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,47.44M,45.75M,42.59M,123.83M,53.87M
Cash & Short Term Investments Growth,-,-3.56%,-6.91%,190.75%,-56.50%
Cash Only,47.44M,45.75M,42.59M,123.83M,53.87M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,-,31.5M,41.31M,26.17M,8.68M
Short Term Receivables Growth,-,-,31.17%,-36.65%,-66.83%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,70.87M,71.25M,57.14M,236.4M,105.17M
"Net Property, Plant & Equipments",-,454.79M,441.7M,377.14M,367.12M
Other Assets (Including Intangibles),402.81M,202.44M,250.12M,262.05M,247.66M
Other Assets,236.58M,202.44M,250.12M,262.05M,247.66M
Intangible Assets,166.23M,-,-,-,-
Total Assets,20.39B,21.17B,20.29B,21.17B,20.22B
Total Assets Growth,-,3.82%,-4.18%,4.35%,-4.49%
Return On Average Assets,-,-,-,-,3.75%
