Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,2.73B,4.62B,4.16B,6.01B,5.9B
Cash & Short Term Investments Growth,-,69.23%,-9.98%,44.39%,-1.77%
Cash Only,2.7B,4.09B,4.14B,5.81B,5.85B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,15.14%,21.57%,22.25%,27.87%,27.36%
Total Accounts Receivable,2.18B,2.59B,821M,1.35B,2.12B
Total Accounts Receivable Growth,-,19.26%,-68.35%,64.31%,57.01%
"Accounts Receivables, Net",2.15B,2.52B,701M,1.26B,2.08B
"Accounts Receivables, Gross",2.19B,2.57B,802M,1.33B,2.12B
Bad Debt/Doubtful Accounts,(34M),(41M),(101M),(65M),(40M)
Other Receivable,24M,70M,120M,85M,40M
Accounts Receivable Turnover,5.16,4.65,6.33,6.37,5.51
Inventories,-,-,-,-,-
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,292M,521M,654M,827M,774M
Miscellaneous Current Assets,292M,521M,654M,827M,774M
Total Current Assets,5.2B,7.74B,5.63B,8.18B,8.79B
"Net Property, Plant & Equipment",1.88B,2.81B,2.83B,2.59B,2.57B
"Property, Plant & Equipment - Gross",4.43B,5.64B,6.12B,5.16B,5.32B
Buildings,435M,688M,1.23B,1.22B,1.18B
Land & Improvements,129M,129M,146M,146M,146M
Computer Software and Equipment,3.24B,3.59B,3.99B,3.24B,3.46B
"Other Property, Plant & Equipment",94M,114M,128M,106M,102M
Accumulated Depreciation,2.55B,2.83B,3.29B,2.57B,2.74B
Total Investments and Advances,3M,3M,3M,-,-
Other Long-Term Investments,3M,3M,3M,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,10.11B,9.93B,8.9B,8.56B,8.35B
Net Goodwill,8.12B,8.13B,7.38B,7.17B,7.14B
Net Other Intangibles,1.99B,1.8B,1.52B,1.39B,1.21B
Other Assets,775M,793M,668M,1.45B,1.18B
Total Assets,18.03B,21.42B,18.69B,21.55B,21.56B
Total Assets Growth,-,18.76%,-12.73%,15.29%,0.06%
