Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,2.69B,1.55B,1.74B,2.71B,2.49B
Cash & Short Term Investments Growth,-,-42.65%,12.56%,56.01%,-8.37%
Cash Only,2.69B,1.55B,1.74B,2.71B,2.49B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,12.57%,7.09%,9.24%,13.22%,11.46%
Total Accounts Receivable,1B,1.17B,860M,1.21B,1.16B
Total Accounts Receivable Growth,-,16.88%,-26.50%,40.81%,-4.05%
"Accounts Receivables, Net",771M,940M,710M,1.06B,1.04B
"Accounts Receivables, Gross",771M,940M,710M,1.06B,1.04B
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,230M,230M,150M,149M,121M
Accounts Receivable Turnover,6.13,5.55,4.79,6.37,10.25
Inventories,245M,261M,378M,223M,217M
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,245M,261M,378M,223M,217M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,519M,180M,104M,199M,66M
Miscellaneous Current Assets,519M,180M,104M,199M,66M
Total Current Assets,4.46B,3.16B,3.08B,4.35B,3.93B
"Net Property, Plant & Equipment",16.08B,17.56B,14.71B,14.68B,15.79B
"Property, Plant & Equipment - Gross",33.22B,36.65B,31.11B,31.67B,33.29B
Buildings,-,-,-,-,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",33.22B,35.82B,30.52B,31.18B,32.59B
Accumulated Depreciation,17.14B,19.09B,16.4B,17B,17.49B
Total Investments and Advances,-,179M,5M,2M,-
Other Long-Term Investments,-,179M,5M,2M,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,360M,360M,360M,360M,360M
Net Goodwill,360M,360M,360M,360M,360M
Net Other Intangibles,-,-,-,-,-
Other Assets,510M,447M,607M,1.06B,1.48B
Total Assets,21.43B,21.78B,18.82B,20.52B,21.7B
Total Assets Growth,-,1.63%,-13.59%,9.00%,5.75%
