Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.54B,1.78B,1.58B,1.64B,7.95B
Cash & Short Term Investments Growth,-,15.69%,-11.27%,3.73%,384.04%
Cash Only,1.54B,1.78B,1.58B,1.64B,7.95B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,953M,988M,1.23B,1.21B,1.17B
Short Term Receivables Growth,-,3.67%,24.49%,-1.79%,-3.23%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,961M,1.04B,1.07B,1.1B,613M
"Net Property, Plant & Equipments",1.24B,1.54B,1.71B,1.7B,1.77B
Other Assets (Including Intangibles),88.09B,89.15B,120.6B,187.85B,182.84B
Other Assets,64.55B,65.55B,84.9B,153B,148.64B
Intangible Assets,23.55B,23.6B,35.7B,34.86B,34.2B
Total Assets,92.79B,94.49B,126.2B,193.5B,194.34B
Total Assets Growth,-,1.83%,33.55%,53.33%,0.43%
Return On Average Assets,-,-,-,-,0.75%
