Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,466.41M,632.58M,1.03B,900.7M,430.2M
Cash & Short Term Investments Growth,-,35.63%,62.17%,-12.20%,-52.24%
Cash Only,466.41M,632.58M,1.03B,855.4M,430.2M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,13.43%,16.59%,23.24%,18.32%,7.80%
Total Accounts Receivable,312.19M,298.19M,293.15M,356.4M,442.8M
Total Accounts Receivable Growth,-,-4.49%,-1.69%,21.58%,24.24%
"Accounts Receivables, Net",307.01M,291.77M,282.2M,347.7M,423.3M
"Accounts Receivables, Gross",313.72M,298.12M,288.29M,354.9M,431.3M
Bad Debt/Doubtful Accounts,(6.71M),(6.35M),(6.09M),(7.2M),(8M)
Other Receivable,5.18M,6.42M,10.95M,8.7M,19.5M
Accounts Receivable Turnover,7.96,8.37,8.02,7.76,7.19
Inventories,280M,293.47M,289.91M,370.4M,470.9M
Finished Goods,63.7M,82.32M,87.23M,93.6M,115.4M
Work in Progress,37.5M,28.76M,29.44M,47.4M,54.3M
Raw Materials,178.81M,182.38M,173.25M,229.4M,301.2M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,33.94M,37.21M,48.32M,50.5M,55.4M
Miscellaneous Current Assets,25.64M,23.81M,27.42M,41.4M,40.3M
Total Current Assets,1.09B,1.26B,1.66B,1.68B,1.4B
"Net Property, Plant & Equipment",281.22M,362.69M,404.86M,434.5M,498.2M
"Property, Plant & Equipment - Gross",715.33M,819.72M,887.4M,939.2M,1.01B
Buildings,189.74M,187.3M,192.43M,197.9M,214.2M
Land & Improvements,32.1M,32.24M,33.71M,39.1M,35.2M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",96.35M,95.76M,95.55M,96.7M,100.6M
Accumulated Depreciation,434.11M,457.03M,482.54M,504.7M,516.7M
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,100K,300K
Intangible Assets,2.08B,2.17B,2.31B,2.77B,3.59B
Net Goodwill,1.7B,1.78B,1.9B,2.17B,2.64B
Net Other Intangibles,383.33M,388.03M,415.56M,597.3M,947.8M
Other Assets,17.02M,20.15M,38.75M,35.3M,26.2M
Total Assets,3.47B,3.81B,4.41B,4.92B,5.51B
Total Assets Growth,-,9.79%,15.74%,11.39%,12.09%
