Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,648.52M,623.95M,656.84M,715M,493M
Cash & Short Term Investments Growth,-,-3.79%,5.27%,8.86%,-31.05%
Cash Only,648.52M,623.95M,656.84M,715M,493M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,5.03%,4.70%,4.85%,1.80%,1.39%
Total Accounts Receivable,937.77M,1.02B,1.12B,2.22B,2.16B
Total Accounts Receivable Growth,-,9.20%,9.55%,97.45%,-2.53%
"Accounts Receivables, Net",937.77M,876.2M,929.34M,1.91B,1.82B
"Accounts Receivables, Gross",946.94M,884.43M,950.35M,1.95B,1.87B
Bad Debt/Doubtful Accounts,(9.17M),(8.23M),(21.01M),(46M),(53M)
Other Receivable,-,147.81M,192.47M,309M,341M
Accounts Receivable Turnover,4.24,5.02,4.53,5.26,5.76
Inventories,1.08B,1.12B,1.13B,2.52B,3.15B
Finished Goods,460.8M,513.47M,527.84M,1.38B,1.64B
Work in Progress,48.82M,44.53M,38.5M,287M,442M
Raw Materials,568.92M,565.07M,565.52M,854M,1.07B
Progress Payments & Other,-,-,-,-,-
Other Current Assets,277.04M,171.52M,149.29M,1.54B,1.63B
Miscellaneous Current Assets,277.04M,64.33M,50.28M,1.25B,1.51B
Total Current Assets,2.94B,2.94B,3.06B,6.99B,7.43B
"Net Property, Plant & Equipment",1.24B,1.68B,1.77B,5.16B,4.86B
"Property, Plant & Equipment - Gross",2.49B,2.98B,3.24B,6.95B,6.84B
Buildings,760.78M,831.58M,932.26M,1.76B,1.7B
Land & Improvements,75.53M,73.17M,84.21M,223M,199M
Computer Software and Equipment,179.88M,231.86M,251.16M,271M,291M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,1.25B,1.3B,1.47B,1.79B,1.98B
Total Investments and Advances,31.47M,-,3M,87M,37M
Other Long-Term Investments,-,-,3M,1M,27M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,8.42B,8.35B,8.32B,26.92B,22.44B
Net Goodwill,5.38B,5.5B,5.59B,16.41B,13.36B
Net Other Intangibles,3.04B,2.85B,2.73B,10.51B,9.08B
Other Assets,168.2M,190.2M,210.27M,426M,482M
Total Assets,12.89B,13.29B,13.56B,39.66B,35.41B
Total Assets Growth,-,3.09%,2.02%,192.56%,-10.72%
