Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,143.58M,123.95M,293.19M,334.66M,149.83M
Cash & Short Term Investments Growth,-,-13.67%,136.54%,14.15%,-55.23%
Cash Only,143.58M,123.95M,293.19M,334.66M,149.83M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,184.53M,218.69M,219.25M,254.68M,304.23M
Short Term Receivables Growth,-,18.51%,0.26%,16.16%,19.46%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,9.05M,9.35M,706.95M,1.21B,597.73M
"Net Property, Plant & Equipments",-,99.13M,102.37M,147.46M,133.73M
Other Assets (Including Intangibles),431.1M,378.3M,305.07M,382.95M,415.86M
Other Assets,426.8M,363.8M,285.97M,364.55M,397.46M
Intangible Assets,4.3M,14.5M,19.1M,18.4M,18.4M
Total Assets,11B,11B,11.61B,18.46B,17.83B
Total Assets Growth,-,-0.01%,5.61%,58.93%,-3.43%
Return On Average Assets,-,-,-,-,0.68%
