Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,51.67M,70.54M,35.62M,130.6M,61.07M
Cash & Short Term Investments Growth,-,36.51%,-49.51%,266.69%,-53.24%
Cash Only,51.67M,70.54M,35.62M,130.6M,61.07M
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,-,-,-,-,-
Short Term Receivables Growth,-,-,-,-,-
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,3.7M,100K,39M,34.5M,13.4M
"Net Property, Plant & Equipments",-,54.3M,49.4M,47M,44.6M
Other Assets (Including Intangibles),116.71M,118.38M,103.66M,94.78M,99.19M
Other Assets,116.71M,118.38M,103.66M,93.88M,99.19M
Intangible Assets,-,-,-,900K,-
Total Assets,11.32B,11.23B,11.19B,11.29B,11.24B
Total Assets Growth,-,-0.82%,-0.32%,0.81%,-0.39%
Return On Average Assets,-,-,-,-,5.66%
