Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.53B,2.33B,5.1B,5.2B,5.91B
Cash & Short Term Investments Growth,-,52.58%,118.99%,1.99%,13.62%
Cash Only,1.53B,2.33B,5.1B,5.2B,5.91B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,4.92%,6.61%,13.04%,11.80%,11.44%
Total Accounts Receivable,685.64M,1.37B,559.92M,857.78M,925.17M
Total Accounts Receivable Growth,-,100.53%,-59.28%,53.20%,7.86%
"Accounts Receivables, Net",657.21M,612.72M,316.5M,583.92M,852.15M
"Accounts Receivables, Gross",657.21M,707.28M,443.09M,712.26M,965.42M
Bad Debt/Doubtful Accounts,-,(94.56M),(126.59M),(128.35M),(113.27M)
Other Receivable,28.43M,762.17M,243.42M,273.86M,73.02M
Accounts Receivable Turnover,17.16,9.38,9.22,11.29,14.19
Inventories,110.83M,102.89M,88.32M,96.37M,126.07M
Finished Goods,110.83M,102.89M,88.32M,96.37M,126.07M
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,203.55M,200.32M,200.78M,258.97M,1.19B
Miscellaneous Current Assets,203.55M,200.32M,200.78M,258.97M,1.19B
Total Current Assets,2.53B,4.01B,5.95B,6.42B,8.15B
"Net Property, Plant & Equipment",20.73B,22.68B,22.92B,25.93B,29.75B
"Property, Plant & Equipment - Gross",29.75B,31.26B,30.39B,34.11B,34.67B
Buildings,16.44B,15.29B,12.05B,12.24B,4.51B
Land & Improvements,6.92B,5.35B,4.08B,4.08B,438.95M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",6.06B,5.92B,5.6B,5.72B,4.39B
Accumulated Depreciation,9.02B,8.58B,7.47B,8.18B,4.91B
Total Investments and Advances,732.87M,822.37M,1.45B,967.04M,173.04M
Other Long-Term Investments,69.36M,253.49M,195.08M,109.23M,141.28M
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,5.77B,5.91B,5.74B,7.1B,6.58B
Net Goodwill,1.82B,2.08B,2.09B,3.48B,5.03B
Net Other Intangibles,3.94B,3.83B,3.64B,3.62B,1.55B
Other Assets,455.32M,456.79M,443.42M,490.21M,1.03B
Total Assets,31.04B,35.27B,39.13B,44.09B,51.68B
Total Assets Growth,-,13.62%,10.95%,12.69%,17.20%
