Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.07B,1.16B,2.09B,1.75B,1.44B
Cash & Short Term Investments Growth,-,8.35%,80.87%,-16.13%,-17.69%
Cash Only,1.07B,1.16B,2.09B,1.75B,1.44B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,4.32B,5.24B,5.33B,5.59B,5.85B
Short Term Receivables Growth,-,21.29%,1.72%,4.88%,4.76%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,233M,273M,297M,410M,340M
"Net Property, Plant & Equipments",701M,2.78B,2.75B,2.72B,2.43B
Other Assets (Including Intangibles),14.29B,20.8B,21.44B,23.11B,22.76B
Other Assets,2.82B,2.86B,2.74B,3.51B,3.48B
Intangible Assets,11.47B,17.94B,18.7B,19.6B,19.28B
Total Assets,21.58B,31.36B,33.05B,34.39B,33.45B
Total Assets Growth,-,45.32%,5.40%,4.05%,-2.72%
Return On Average Assets,-,-,-,-,8.99%
