Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.4B,1.83B,3.05B,2.62B,4.86B
Cash & Short Term Investments Growth,-,31.15%,66.12%,-14.10%,85.56%
Cash Only,1.4B,1.53B,2.64B,2.36B,4.28B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,7.81%,10.00%,15.14%,10.14%,14.96%
Total Accounts Receivable,2.53B,2.4B,2.75B,3.97B,4.16B
Total Accounts Receivable Growth,-,-5.17%,14.75%,44.07%,4.70%
"Accounts Receivables, Net",2.51B,2.16B,2.3B,3.85B,3.59B
"Accounts Receivables, Gross",2.57B,2.22B,2.35B,3.95B,3.79B
Bad Debt/Doubtful Accounts,(62.1M),(59.9M),(51.3M),(95.4M),(200.2M)
Other Receivable,26.2M,240.8M,456.1M,115.2M,564.7M
Accounts Receivable Turnover,9.90,9.41,7.31,9.19,9.99
Inventories,4.55B,3.84B,3.57B,6.01B,5.45B
Finished Goods,-,-,-,-,-
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,152.11M,148.73M,116.95M,201.34M,224.63M
Miscellaneous Current Assets,152.11M,148.73M,116.95M,201.34M,224.63M
Total Current Assets,8.64B,8.23B,9.49B,12.8B,14.69B
"Net Property, Plant & Equipment",5.33B,6.27B,6.99B,8.21B,9.72B
"Property, Plant & Equipment - Gross",14.53B,15.69B,16.85B,18.6B,20.83B
Buildings,1.28B,1.41B,1.51B,1.85B,2.23B
Land & Improvements,654.79M,719.74M,744.31M,845.77M,905.6M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",722.38M,723.12M,696.23M,654.34M,654.49M
Accumulated Depreciation,9.19B,9.42B,9.86B,10.39B,11.12B
Total Investments and Advances,869.9M,793.2M,635.26M,768.4M,659.87M
Other Long-Term Investments,-,-,115.26M,143.8M,97.57M
Long-Term Note Receivables,40.2M,39.3M,37.8M,-,-
Intangible Assets,3.01B,2.94B,2.9B,3.93B,7.24B
Net Goodwill,2.18B,2.2B,2.23B,2.83B,3.92B
Net Other Intangibles,828.5M,742.19M,668.02M,1.1B,3.32B
Other Assets,25.94M,72.87M,72.98M,116.88M,147.61M
Total Assets,17.92B,18.34B,20.13B,25.82B,32.48B
Total Assets Growth,-,2.37%,9.71%,28.31%,25.78%
