Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,2.79B,1.05B,2.28B,2.83B,3.85B
Cash & Short Term Investments Growth,-,-62.53%,117.70%,24.40%,35.87%
Cash Only,2.79B,1.05B,2.28B,2.83B,3.85B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,12.95%,5.22%,11.46%,13.32%,16.08%
Total Accounts Receivable,792M,667M,765M,923M,960M
Total Accounts Receivable Growth,-,-15.78%,14.69%,20.65%,4.01%
"Accounts Receivables, Net",792M,667M,765M,923M,960M
"Accounts Receivables, Gross",795M,669M,767M,925M,961M
Bad Debt/Doubtful Accounts,(3M),(2M),(2M),(2M),(1M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,11.88,13.31,11.26,11.99,13.76
Inventories,1.28B,1.19B,1.03B,1.19B,1.78B
Finished Goods,256M,246M,178M,236M,323M
Work in Progress,949M,894M,786M,846M,1.31B
Raw Materials,74M,52M,66M,107M,151M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,365M,363M,254M,286M,348M
Miscellaneous Current Assets,365M,363M,254M,286M,348M
Total Current Assets,5.23B,3.27B,4.32B,5.23B,6.94B
"Net Property, Plant & Equipment",2.44B,2.67B,2.51B,2.86B,3.36B
"Property, Plant & Equipment - Gross",5.74B,6.42B,6.74B,7.54B,8.57B
Buildings,1.25B,-,1.43B,-,-
Land & Improvements,165M,-,165M,7.31B,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",537M,-,751M,-,-
Accumulated Depreciation,3.3B,3.74B,4.24B,4.68B,5.21B
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,13.32B,13.57B,12.23B,11.66B,11.25B
Net Goodwill,8.86B,9.95B,9.98B,9.96B,9.94B
Net Other Intangibles,4.47B,3.62B,2.24B,1.69B,1.31B
Other Assets,545M,506M,790M,1.12B,1.69B
Total Assets,21.53B,20.02B,19.85B,21.25B,23.91B
Total Assets Growth,-,-7.03%,-0.84%,7.06%,12.51%
