Item,2018,2019,2020,2021,2022
Total Cash & Due from Banks,16.11B,28.26B,91.92B,81.8B,33.94B
Cash & Due from Banks Growth,-,75.45%,225.24%,-11.00%,-58.51%
Investments - Total,95.73B,100.31B,101.26B,146.6B,148.57B
Investments Growth,-,4.78%,0.94%,44.78%,1.34%
Trading Account Securities,3.92B,3.22B,2.24B,1.85B,1.97B
Federal Funds Sold & Securities Purchased,-,-,-,-,-
Federal Funds Sold,-,-,-,-,-
Securities Bought Under Resale Agreement,-,-,-,-,-
Treasury Securities,18.86B,17.29B,21.51B,46.98B,44.94B
Federal Agency Securities,-,-,-,-,-
State & Municipal Securities,-,-,-,-,-
Mortgage Backed Securities,58.12B,64.83B,56.79B,74B,80.64B
Other Securities,5.73B,4.7B,10.5B,11.99B,13.76B
Other Investments,9.12B,10.27B,10.22B,11.79B,7.27B
Net Loans,223.62B,237.1B,236.57B,283.5B,321.28B
Gross Loans - Net of Unearned Income,226.25B,239.84B,241.93B,288.37B,326.03B
Commercial & Industrial Loans,116.83B,125.34B,132.07B,152.93B,182.22B
Consumer & Installment Loans,29.18B,32.34B,28.08B,31.52B,29.1B
Real Estate Mortgage Loans,44.78B,46.91B,46.65B,63.77B,71.87B
Lease Financing Loans,7.31B,7.16B,6.41B,6.13B,6.51B
Foreign Loans,-,-,-,-,-
Broker & Financial Institution Loans,-,-,-,-,-
Unspecified/Other Loans,-,-,-,-,-
Unearned Income,-,-,-,-,-
Loan Loss Allowances (Reserves),(2.63B),(2.74B),(5.36B),(4.87B),(4.74B)
Customer Liability on Acceptances,-,-,-,-,-
Loans - 1 Yr Growth Rate,-,6.03%,-0.23%,19.84%,13.33%
Loans (Total) / Total Deposits,-,-,-,-,-
Loans (Total) / Total Assets,-,-,-,-,-
"Net Property, Plant & Equipment",5.73B,9.73B,9.56B,10.51B,10.61B
Other Assets (Including Intangibles),33B,26.22B,25B,29.5B,34.42B
Other Assets,23.78B,16.99B,15.77B,18.58B,23.43B
Intangible Assets,9.22B,9.23B,9.23B,10.92B,10.99B
Interest Receivables,-,-,243M,1.02B,1.63B
Total Assets,384.14B,412.42B,469.39B,559.94B,560.36B
Assets - Total Growth,-,7.36%,13.81%,19.29%,0.07%
Return On Average Assets,-,-,-,-,1.07%
