Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,74.3M,82.5M,82.1M,94.5M,108.9M
Cash & Short Term Investments Growth,-,11.04%,-0.48%,15.10%,15.24%
Cash Only,74.3M,82.5M,82.1M,94.5M,108.9M
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.95%,1.99%,1.96%,1.99%,1.69%
Total Accounts Receivable,524.7M,543.9M,417.6M,583.1M,579.9M
Total Accounts Receivable Growth,-,3.66%,-23.22%,39.63%,-0.55%
"Accounts Receivables, Net",524.7M,543.9M,417.6M,583.1M,579.9M
"Accounts Receivables, Gross",538.7M,554.2M,426M,592.2M,590.7M
Bad Debt/Doubtful Accounts,(14M),(10.3M),(8.4M),(9.1M),(10.8M)
Other Receivable,-,-,-,-,-
Accounts Receivable Turnover,5.65,5.44,7.23,6.46,7.11
Inventories,387.5M,377.4M,420M,562.9M,790M
Finished Goods,132.2M,116M,134.1M,195.2M,290.3M
Work in Progress,64M,65.2M,67.2M,77.4M,95.6M
Raw Materials,191.3M,196.2M,218.7M,290.3M,404.1M
Progress Payments & Other,-,-,-,-,-
Other Current Assets,52.9M,58.1M,55.4M,63.5M,79.7M
Miscellaneous Current Assets,7.7M,4.6M,3.1M,6.4M,4.9M
Total Current Assets,1.04B,1.06B,975.1M,1.3B,1.56B
"Net Property, Plant & Equipment",272.6M,360.4M,384.8M,394.5M,423.1M
"Property, Plant & Equipment - Gross",841.9M,957.8M,1.03B,1.05B,1.08B
Buildings,178.9M,188.1M,195.4M,194.5M,200.7M
Land & Improvements,33.5M,33.7M,35.9M,34.8M,32.3M
Computer Software and Equipment,-,-,79.9M,66.5M,68.8M
"Other Property, Plant & Equipment",-,-,-,-,-
Accumulated Depreciation,569.3M,597.4M,647.5M,655.9M,657.1M
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,2.35B,2.6B,2.72B,2.93B,4.35B
Net Goodwill,2.07B,2.26B,2.39B,2.5B,3.25B
Net Other Intangibles,276.3M,339.2M,325.9M,428M,1.09B
Other Assets,119.3M,90.1M,91.8M,99.5M,92.7M
Total Assets,3.81B,4.14B,4.2B,4.75B,6.45B
Total Assets Growth,-,8.75%,1.39%,13.26%,35.63%
