Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,34.31B,40.8B,75.84B,103.83B,71.44B
Cash & Short Term Investments Growth,-,18.93%,85.89%,36.90%,-31.19%
Cash Only,27.94B,29.35B,40.35B,62.98B,40.2B
Total Short-Term Investments,6.37B,11.46B,35.5B,40.85B,31.24B
Short-Term Receivables,23.2B,23.15B,67.95B,95.29B,71.24B
Short Term Receivables Growth,-,-0.23%,193.56%,40.24%,-25.24%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,218.78B,207.24B,354.88B,406.84B,336.95B
"Net Property, Plant & Equipments",1.77B,2.71B,3.82B,4.28B,4.61B
Other Assets (Including Intangibles),1.81B,1.9B,22.7B,22.39B,21.66B
Other Assets,435M,545M,760M,1.06B,918M
Intangible Assets,1.38B,1.36B,21.94B,21.33B,20.74B
Total Assets,296.48B,294.01B,549.01B,667.27B,554.31B
Total Assets Growth,-,-0.84%,86.73%,21.54%,-16.93%
Return On Average Assets,-,-,-,-,1.18%
