Item,2019,2020,2021,2022,2023
Cash & Short Term Investments,3.03B,3.22B,10.47B,6.23B,5.48B
Cash & Short Term Investments Growth,-,6.16%,225.47%,-40.53%,-12.04%
Cash Only,3.03B,3.22B,10.47B,6.23B,5.48B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,21.15%,13.32%,33.98%,21.88%,19.32%
Total Accounts Receivable,346.3M,386.26M,497.4M,632.16M,119M
Total Accounts Receivable Growth,-,11.54%,28.77%,27.09%,-81.18%
"Accounts Receivables, Net",346.3M,386.26M,461.14M,517.62M,-
"Accounts Receivables, Gross",346.3M,386.26M,461.14M,517.62M,-
Bad Debt/Doubtful Accounts,-,-,-,-,-
Other Receivable,-,-,36.26M,114.54M,-
Accounts Receivable Turnover,112.54,108.00,64.61,76.80,419.63
Inventories,4.58B,4.87B,4.34B,5.96B,5.82B
Finished Goods,4.58B,4.87B,4.34B,5.96B,5.82B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,513.66M,415.02M,434.98M,438.1M,1.04B
Miscellaneous Current Assets,513.66M,415.02M,434.98M,438.1M,1.04B
Total Current Assets,8.47B,8.89B,15.74B,13.26B,12.46B
"Net Property, Plant & Equipment",5.26B,14.39B,14.03B,14.12B,14.87B
"Property, Plant & Equipment - Gross",10.73B,20.43B,20.75B,21.29B,-
Buildings,1.46B,1.43B,1.67B,1.91B,-
Land & Improvements,-,-,-,-,-
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",9.27B,9.95B,10.09B,10.52B,-
Accumulated Depreciation,5.47B,6.05B,6.73B,7.16B,-
Total Investments and Advances,-,-,-,-,-
Other Long-Term Investments,-,-,-,-,-
Long-Term Note Receivables,-,-,-,-,-
Intangible Assets,235.51M,228.91M,224.45M,219.54M,97M
Net Goodwill,97.55M,95.55M,99M,96.66M,97M
Net Other Intangibles,137.96M,133.37M,125.45M,122.88M,-
Other Assets,359.62M,627.96M,696.49M,673.59M,927M
Total Assets,14.33B,24.15B,30.81B,28.46B,28.35B
Total Assets Growth,-,68.54%,27.62%,-7.63%,-0.40%
