Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.43B,1.78B,2.15B,1.52B,1.76B
Cash & Short Term Investments Growth,-,25.02%,20.76%,-29.21%,15.26%
Cash Only,1.43B,1.78B,2.15B,1.52B,1.76B
Total Short-Term Investments,-,-,-,-,-
Short-Term Receivables,376.7M,456.6M,888.1M,589.8M,563.6M
Short Term Receivables Growth,-,21.21%,94.50%,-33.59%,-4.44%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,3.7B,4.34B,5.04B,3.87B,3.01B
"Net Property, Plant & Equipments",661.3M,785.2M,813M,937.4M,1.04B
Other Assets (Including Intangibles),982.4M,1.01B,1.14B,4.52B,4.15B
Other Assets,316.7M,347.3M,473.3M,913.8M,873.8M
Intangible Assets,665.7M,665.7M,665.7M,3.61B,3.27B
Total Assets,7.79B,9.53B,10.9B,12.51B,11.64B
Total Assets Growth,-,22.38%,14.41%,14.74%,-6.92%
Return On Average Assets,-,-,-,-,12.60%
