Item,2018,2019,2020,2021,2022
Cash Only,373M,494M,721M,761M,799M
Cash Growth,-,32.44%,45.95%,5.55%,4.99%
Total Investment Assets,72.28B,77.88B,84.42B,87.38B,80.45B
Investments Growth,-,7.76%,8.40%,3.50%,-7.92%
Total Fixed Income Securities Investment,67.45B,73.08B,79.51B,81.65B,74.63B
Bonds,67.37B,73.03B,79.49B,81.63B,74.63B
Redeemable Preferred Stock,79M,50M,25M,14M,-
Total Equity Securities Investment,404M,445M,488M,893M,807M
Common Stocks,352M,403M,445M,827M,763M
Non-Redeemable Preferred Stock,52M,42M,43M,66M,44M
Real Estate Assets,904M,963M,1.03B,979M,952M
"Mortgage, Policy & Other Loans",-,-,-,-,-
Other Investments,3.52B,3.4B,3.4B,3.86B,4.07B
Yield On Investment,-,-,-,-,-
Premium Balance Receivables,12.29B,12.53B,12.07B,11.98B,12.5B
Premium Balance Growth,-,1.93%,-3.65%,-0.80%,4.39%
"Net Property, Plant & Equipment",-,-,-,-,-
Investment in Unconsolidated Subs.,-,-,-,-,-
Other Assets (Including Intangibles),9.9B,10.29B,10.43B,11B,11B
Separate & Variable Account Assets,-,-,-,-,-
Deferred Charges,2.45B,2.59B,2.66B,3.24B,3.4B
Tangible Other Assets,3.17B,3.41B,3.47B,3.45B,3.36B
Intangible Assets,4.28B,4.29B,4.29B,4.31B,4.24B
Total Assets,96.2B,102.6B,109.13B,112.58B,107.42B
Assets - Total - 1 Year Growth,-,6.66%,6.37%,3.16%,-4.59%
Return On Average Assets,-,-,-,-,2.57%
