Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.12B,1.16B,335.97M,739.61M,426.28M
Cash & Short Term Investments Growth,-,3.76%,-71.07%,120.15%,-42.37%
Cash Only,598.45M,1.1B,315.99M,739.61M,208.93M
Total Short-Term Investments,520.88M,59.47M,19.97M,-,217.34M
Short-Term Receivables,-,61.74M,6.93M,8.15M,18.88M
Short Term Receivables Growth,-,-,-88.77%,17.60%,131.61%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,-,-,-,884K,-
"Net Property, Plant & Equipments",1.16B,1.16B,69.2M,68.52M,67.21M
Other Assets (Including Intangibles),44.04M,30.07M,15.4M,56.36M,40.72M
Other Assets,44.04M,30.07M,15.4M,56.36M,40.72M
Intangible Assets,-,-,-,-,-
Total Assets,11.33B,13.27B,17.06B,17.6B,37.58B
Total Assets Growth,-,17.05%,28.63%,3.13%,113.53%
Return On Average Assets,-,-,-,-,4.05%
