Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,3.79B,3.82B,23.37B,4.02B,3.95B
Cash & Short Term Investments Growth,-,0.61%,512.48%,-82.82%,-1.67%
Cash Only,3.79B,3.82B,23.37B,4.02B,3.95B
Short-Term Investments,-,-,-,-,-
Cash & ST Investments / Total Assets,1.43%,1.31%,7.38%,1.10%,1.04%
Total Accounts Receivable,25.86B,26.28B,24.65B,24.59B,25.16B
Total Accounts Receivable Growth,-,1.62%,-6.19%,-0.26%,2.35%
"Accounts Receivables, Net",25.1B,26.28B,24.65B,24.59B,25.16B
"Accounts Receivables, Gross",25.87B,27.01B,25.9B,25.48B,25.99B
Bad Debt/Doubtful Accounts,(765M),(733M),(1.25B),(896M),(826M)
Other Receivable,757M,-,-,-,-
Accounts Receivable Turnover,5.06,5.02,5.20,5.43,5.44
Inventories,1.34B,1.42B,1.8B,3.06B,2.39B
Finished Goods,1.34B,1.42B,1.8B,3.06B,2.39B
Work in Progress,-,-,-,-,-
Raw Materials,-,-,-,-,-
Progress Payments & Other,-,-,-,-,-
Other Current Assets,1.57B,3.38B,2.31B,2.64B,3.73B
Miscellaneous Current Assets,1.57B,943M,1.11B,1.55B,3.56B
Total Current Assets,32.55B,34.9B,52.12B,34.3B,35.23B
"Net Property, Plant & Equipment",89.29B,114.61B,117.36B,127.58B,133.56B
"Property, Plant & Equipment - Gross",252.84B,288.43B,302.27B,317.78B,333.82B
Buildings,30.47B,31.22B,32.93B,33.36B,35.38B
Land & Improvements,807M,594M,608M,673M,747M
Computer Software and Equipment,-,-,-,-,-
"Other Property, Plant & Equipment",18.09B,19.3B,20.44B,19.83B,21.05B
Accumulated Depreciation,163.55B,173.82B,184.9B,190.2B,200.26B
Total Investments and Advances,1.2B,1.89B,3.41B,2.46B,1.85B
Other Long-Term Investments,532M,1.33B,2.82B,1.4B,775M
Long-Term Note Receivables,246M,302M,204M,7.6B,12.11B
Intangible Assets,128.52B,128.95B,130.28B,187.9B,189.93B
Net Goodwill,24.61B,24.39B,24.77B,28.6B,28.67B
Net Other Intangibles,103.91B,104.56B,105.51B,159.3B,161.26B
Other Assets,13.02B,11.09B,13.1B,6.76B,7.01B
Total Assets,264.83B,291.73B,316.48B,366.6B,379.68B
Total Assets Growth,-,10.16%,8.49%,15.84%,3.57%
