Item,2018,2019,2020,2021,2022
Cash & Short Term Investments,1.06B,944M,2.09B,4.72B,1.31B
Cash & Short Term Investments Growth,-,-10.78%,121.19%,126.10%,-72.36%
Cash Only,1.03B,895M,2.05B,4.49B,1.26B
Total Short-Term Investments,25M,49M,42M,235M,43M
Short-Term Receivables,2.4B,2.92B,2.76B,2.62B,2.58B
Short Term Receivables Growth,-,21.72%,-5.62%,-4.86%,-1.53%
Investment Securities,-,-,-,-,-
Investment Securities Growth,-,-,-,-,-
Securities in Custody,-,-,-,-,-
Securities in Custody Growth,-,-,-,-,-
Other Investments,7M,23M,70M,55M,90M
"Net Property, Plant & Equipments",942M,2.01B,1.91B,1.57B,1.3B
Other Assets (Including Intangibles),27.92B,29.45B,31.61B,25.92B,26.42B
Other Assets,14.14B,14.78B,18.23B,13.18B,13.97B
Intangible Assets,13.78B,14.67B,13.38B,12.74B,12.45B
Total Assets,32.39B,35.43B,38.53B,34.97B,31.77B
Total Assets Growth,-,9.39%,8.76%,-9.24%,-9.15%
Return On Average Assets,-,-,-,-,3.14%
