Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,1.57B,478M,152M,(951M),(505M)
Net Income Growth,-,-69.46%,-68.20%,-725.66%,46.90%
"Depreciation, Depletion & Amortization",1B,1.05B,1.07B,1.06B,1.05B
Depreciation and Depletion,956M,1B,1.01B,987M,982M
Amortization of Intangible Assets,47M,45M,54M,69M,71M
Deferred Taxes & Investment Tax Credit,313M,(8M),(233M),(406M),4M
Deferred Taxes,313M,(8M),(233M),(406M),4M
Investment Tax Credit,-,-,-,-,-
Other Funds,(352M),990M,1.48B,3.57B,2.45B
Funds from Operations,2.53B,2.51B,2.47B,3.26B,3B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(186M),(39M),290M,(1.36B),(289M)
Receivables,(206M),73M,48M,(170M),(532M)
Accounts Payable,62M,(6M),(186M),(251M),470M
Other Assets/Liabilities,1M,(51M),389M,(577M),241M
Net Operating Cash Flow,2.34B,2.47B,2.76B,1.9B,2.72B
Net Operating Cash Flow Growth,-,5.25%,11.72%,-30.96%,42.74%
Net Operating Cash Flow / Sales,21.81%,24.20%,28.52%,17.07%,21.52%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(2.12B),(2.41B),(1.9B),(2.12B),(4.55B)
Capital Expenditures Growth,-,-13.39%,21.00%,-11.37%,-115.08%
Capital Expenditures / Sales,-19.74%,-23.60%,-19.67%,-18.99%,-36.07%
Capital Expenditures (Fixed Assets),(2.12B),(2.41B),(1.9B),(2.12B),(4.55B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(66M),(192M),(395M),(775M),(845M)
Sale of Fixed Assets & Businesses,2.06B,195M,722M,268M,743M
Purchase/Sale of Investments,(254M),(428M),(358M),(330M),(675M)
Purchase of Investments,(1.56B),(1.09B),(985M),(946M),(1.72B)
Sale/Maturity of Investments,1.3B,666M,627M,616M,1.05B
Other Uses,(84M),(24M),(79M),(362M),(517M)
Other Sources,101M,120M,-,365M,236M
Net Investing Cash Flow,(462M),(2.7B),(2B),(3B),(5.7B)
Net Investing Cash Flow Growth,-,-485.28%,26.00%,-49.68%,-90.18%
Net Investing Cash Flow / Sales,-4.30%,-26.54%,-20.71%,-26.88%,-45.14%
