Item,2018,2019,2020,2021,2022
Funds from Operations,3.09B,3.27B,5.12B,3.96B,3.94B
Funds from Operations Growth,-,5.76%,56.62%,-22.58%,-0.71%
Extraordinaries,-,-,-,-,-
Net Operating Cash Flow,6.01B,5.46B,5.96B,5.05B,3.88B
Net Operating Cash Flow Growth,-,-9.29%,9.22%,-15.22%,-23.20%
Item,2018,2019,2020,2021,2022
Capital Expenditures,-,-,-,-,-
Capital Expenditures Growth,-,-,-,-,-
Capital Expenditures (Fixed Assets),-,-,-,-,-
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,(4.11B),(3.97B),(3.33B),(3.93B),(979M)
Purchase of Investments,(15.03B),(12.34B),(9.38B),(12.45B),(8.16B)
Sale/Maturity of Investments,10.92B,8.37B,6.05B,8.52B,7.18B
Increase in Loans,-,-,-,-,-
Decrease in Loans,-,-,-,-,-
Other Uses,-,-,(1.29B),-,(561M)
Other Sources,524M,803M,-,1.55B,-
Net Investing Cash Flow,(3.58B),(3.17B),(4.62B),(2.38B),(1.54B)
Net Investing Cash Flow Growth,-,11.47%,-45.66%,48.52%,35.24%
