Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,777.93M,861.3M,872.44M,990.05M,1.16B
Net Income Growth,-,10.72%,1.29%,13.48%,17.12%
"Depreciation, Depletion & Amortization",199.49M,234.04M,255.28M,292.11M,319.43M
Depreciation and Depletion,85.4M,101.44M,101.28M,108.51M,-
Amortization of Intangible Assets,114.09M,132.6M,154M,183.6M,-
Deferred Taxes & Investment Tax Credit,(73.68M),19.38M,1.84M,(29.76M),(67.82M)
Deferred Taxes,(73.68M),19.38M,1.84M,(29.76M),(67.82M)
Investment Tax Credit,-,-,-,-,-
Other Funds,15.27M,44.67M,(116.94M),33.44M,4.7M
Funds from Operations,919.01M,1.16B,1.01B,1.29B,1.42B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,6.51M,(44.97M),268.37M,(125.39M),(266.47M)
Receivables,(13.38M),14.4M,163.47M,(172.79M),(86.71M)
Accounts Payable,36.55M,(58.93M),7.02M,212.1M,95.48M
Other Assets/Liabilities,(16.66M),(435K),97.88M,(164.7M),(275.24M)
Net Operating Cash Flow,925.52M,1.11B,1.28B,1.16B,1.15B
Net Operating Cash Flow Growth,-,20.41%,14.95%,-9.41%,-0.96%
Net Operating Cash Flow / Sales,19.10%,21.60%,28.22%,20.92%,18.69%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(82.08M),(102.35M),(74.2M),(110.67M),(139.01M)
Capital Expenditures Growth,-,-24.70%,27.50%,-49.15%,-25.60%
Capital Expenditures / Sales,-1.69%,-1.98%,-1.63%,-2.00%,-2.26%
Capital Expenditures (Fixed Assets),(82.08M),(102.35M),(74.2M),(110.67M),(139.01M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(1.13B),(1.06B),(116.51M),(1.96B),(429.71M)
Sale of Fixed Assets & Businesses,2.57M,11.31M,254.82M,14.34M,15.49M
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,(1.23M),-,(2.48M),(294K),-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(1.21B),(1.15B),61.63M,(2.06B),(552.76M)
Net Investing Cash Flow Growth,-,4.89%,105.35%,"-3,435.78%",73.11%
Net Investing Cash Flow / Sales,-24.97%,-22.31%,1.36%,-37.07%,-8.99%
