Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,10.07B,11.59B,21.33B,33.36B,(2.72B)
Net Income Growth,-,15.04%,84.08%,56.41%,-108.16%
"Depreciation, Depletion & Amortization",15.34B,21.79B,25.25B,34.3B,41.92B
Depreciation and Depletion,-,-,-,-,-
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,441M,796M,(554M),(310M),(8.15B)
Deferred Taxes,441M,796M,(554M),(310M),(8.15B)
Investment Tax Credit,-,-,-,-,-
Other Funds,5.91B,6.78B,6.56B,(1.41B),36.59B
Funds from Operations,31.77B,40.95B,52.58B,65.94B,67.64B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(1.04B),(2.44B),13.48B,(19.61B),(20.89B)
Receivables,(4.62B),(7.68B),(8.17B),(18.16B),(21.9B)
Accounts Payable,3.26B,8.19B,17.48B,3.6B,2.95B
Other Assets/Liabilities,1.15B,1.71B,1.27B,2.31B,2.22B
Net Operating Cash Flow,30.72B,38.51B,66.06B,46.33B,46.75B
Net Operating Cash Flow Growth,-,25.36%,71.53%,-29.88%,0.92%
Net Operating Cash Flow / Sales,13.19%,13.73%,17.11%,9.86%,9.10%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(13.43B),(16.86B),(40.14B),(61.05B),(63.65B)
Capital Expenditures Growth,-,-25.58%,-138.06%,-52.10%,-4.25%
Capital Expenditures / Sales,-5.77%,-6.01%,-10.40%,-12.99%,-12.38%
Capital Expenditures (Fixed Assets),(13.43B),(16.86B),(40.14B),(61.05B),(63.65B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(2.19B),(2.46B),(2.33B),(1.99B),(8.32B)
Sale of Fixed Assets & Businesses,2.1B,4.17B,5.1B,5.66B,5.32B
Purchase/Sale of Investments,1.14B,(9.13B),(22.24B),(773M),29.04B
Purchase of Investments,(7.1B),(31.81B),(72.48B),(60.16B),(2.57B)
Sale/Maturity of Investments,8.24B,22.68B,50.24B,59.38B,31.6B
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(12.37B),(24.28B),(59.61B),(58.15B),(37.6B)
Net Investing Cash Flow Growth,-,-96.31%,-145.50%,2.44%,35.34%
Net Investing Cash Flow / Sales,-5.31%,-8.66%,-15.44%,-12.38%,-7.32%
