Item,2018,2019,2020,2021,2022
Funds from Operations,39.93B,41.08B,35.04B,37.03B,37.69B
Funds from Operations Growth,-,2.87%,-14.70%,5.67%,1.79%
Extraordinaries,-,-,-,-,-
Changes in Working Capital,22.36B,11.46B,(13.38B),(13.17B),45.05B
Net Operating Cash Flow,62.29B,52.54B,21.66B,23.86B,82.74B
Net Operating Cash Flow Growth,-,-15.66%,-58.78%,10.17%,246.74%
Net Operating Cash Flow / Interest Income,93.29%,73.75%,41.99%,50.05%,114.02%
Item,2018,2019,2020,2021,2022
Capital Expenditures,-,-,-,-,-
Capital Expenditures (Fixed Assets),-,-,-,-,-
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,(82.26B),(29.55B),(202.49B),(278.51B),(28.52B)
Purchase of Investments,(184.68B),(203.36B),(481.87B),(623.24B),(271.68B)
Sale/Maturity of Investments,102.42B,173.81B,279.39B,344.73B,243.16B
Increase in Loans,(35.92B),(52.77B),(5.84B),(72.75B),(91.92B)
Decrease in Loans,25.93B,13.91B,50.48B,10.4B,33.46B
Other Uses,(1.99B),(2.97B),(3.49B),(3.48B),(4.61B)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(94.24B),(71.39B),(161.33B),(344.35B),(91.6B)
Net Investing Cash Flow Growth,-,24.24%,-125.98%,-113.44%,73.40%
Net Investing Cash Flow / Interest Income,-141.14%,-100.22%,-312.75%,-722.32%,-126.23%
