Item,2018,2019,2020,2021,2022
Funds from Operations,964.3M,59.1M,605.4M,1.35B,1.89B
Funds from Operations Growth,-,-93.87%,924.37%,122.63%,39.89%
Changes in Working Capital,891.9M,-,(59.4M),(115.2M),74.9M
Receivables,-,(34.3M),-,-,-
Inventories,-,-,-,-,-
Accounts Payable,(32.6M),189.2M,(60.6M),(35M),60M
Other Assets/Liabilities,(21.6M),(34.2M),134.7M,(182.5M),(86.7M)
Net Operating Cash Flow,1.86B,59.1M,546M,1.23B,1.96B
Net Operating Cash Flow Growth,-,-96.82%,823.86%,125.75%,59.05%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(106.5M),(233.7M),(103.7M),(79.3M),(90.3M)
Capital Expenditures Growth,-,-119.44%,55.63%,23.53%,-13.87%
Capital Expenditures (Fixed Assets),(106.5M),(233.7M),(103.7M),(79.3M),(90.3M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(86.8M),(684.2M),(3.82B),(9M),(1.35B)
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,(310.9M),1.19B,850.6M,(1.86B),(1.71B)
Purchase of Investments,(869.3M),(502.4M),(2.01B),(4.81B),(4.88B)
Sale/Maturity of Investments,558.4M,1.7B,2.86B,2.95B,3.18B
Other Uses,-,-,(40.6M),-,-
Other Sources,-,-,-,63M,19.9M
Net Investing Cash Flow,242.8M,277M,(3.12B),(1.88B),(3.13B)
