Item,2018,2019,2020,2021,2022
Funds from Operations,14.67B,15.01B,14.51B,14.9B,15.81B
Funds from Operations Growth,-,2.30%,-3.34%,2.72%,6.09%
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(1.11B),774M,2.39B,(2.57B),(2.86B)
Net Operating Cash Flow,13.57B,15.78B,16.9B,12.33B,12.95B
Net Operating Cash Flow Growth,-,16.34%,7.07%,-27.04%,5.06%
Net Operating Cash Flow / Interest Income,49.92%,55.35%,64.91%,47.84%,41.46%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(874M),(887M),(710M),(698M),(934M)
Capital Expenditures (Fixed Assets),(874M),(887M),(710M),(698M),(934M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(600M),(8.39B),(7M),(669M),(1.18B)
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,(16.86B),5.88B,(19.89B),1.86B,6.79B
Purchase of Investments,(33.19B),(12.5B),(43.03B),(27.88B),(14.85B)
Sale/Maturity of Investments,16.33B,18.38B,23.14B,29.75B,21.64B
Increase in Loans,(597M),(21.28B),(199M),(33.85B),(35.89B)
Decrease in Loans,3.52B,3.43B,6.59B,2.51B,2.95B
Other Uses,(802M),(877M),(822M),(668M),(628M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(16.22B),(22.13B),(15.04B),(31.52B),(28.88B)
Net Investing Cash Flow Growth,-,-36.47%,32.03%,-109.57%,8.37%
Net Investing Cash Flow / Interest Income,-59.67%,-77.61%,-57.77%,-122.31%,-92.46%
