Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,227.22M,258.15M,365.31M,398.84M,492.61M
Net Income Growth,-,13.61%,41.51%,9.18%,23.51%
"Depreciation, Depletion & Amortization",161.78M,198.1M,234.92M,265.54M,303.87M
Depreciation and Depletion,96.95M,108.56M,123.05M,140.68M,157.29M
Amortization of Intangible Assets,64.83M,89.54M,111.88M,124.86M,146.58M
Deferred Taxes & Investment Tax Credit,(9.7M),(21.9M),(133K),(24.01M),(35.88M)
Deferred Taxes,(9.7M),(21.9M),(133K),(24.01M),(35.88M)
Investment Tax Credit,-,-,-,-,-
Other Funds,47.03M,44.5M,(27.25M),77.49M,11.6M
Funds from Operations,426.33M,474.76M,572.85M,717.86M,772.19M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,14.81M,6.18M,(26.28M),42.94M,(152.55M)
Receivables,(21.2M),(8.32M),(85.63M),(26.63M),(150.57M)
Accounts Payable,(12.73M),29.78M,748K,44.9M,(2.65M)
Other Assets/Liabilities,30.46M,2.73M,36.5M,5.53M,121.36M
Net Operating Cash Flow,441.14M,480.94M,546.58M,760.8M,619.64M
Net Operating Cash Flow Growth,-,9.02%,13.65%,39.19%,-18.55%
Net Operating Cash Flow / Sales,19.47%,18.35%,18.69%,21.49%,15.58%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(140.05M),(140.51M),(166.56M),(228.77M),(324.73M)
Capital Expenditures Growth,-,-0.33%,-18.54%,-37.35%,-41.95%
Capital Expenditures / Sales,-6.18%,-5.36%,-5.70%,-6.46%,-8.17%
Capital Expenditures (Fixed Assets),(140.05M),(140.51M),(166.56M),(228.77M),(324.73M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(824.87M),(515.7M),(418.63M),(1.29B),(283.39M)
Sale of Fixed Assets & Businesses,-,-,-,122.69M,163.28M
Purchase/Sale of Investments,10.72M,(21.4M),(15.29M),(39.02M),(153.73M)
Purchase of Investments,(25.13M),(22.34M),(26.69M),(45.56M),(158.27M)
Sale/Maturity of Investments,35.85M,942K,11.4M,6.53M,4.55M
Other Uses,(4.54M),(3.89M),(1.07M),-,(9.35M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(958.74M),(681.5M),(601.54M),(1.44B),(607.92M)
Net Investing Cash Flow Growth,-,28.92%,11.73%,-139.04%,57.72%
Net Investing Cash Flow / Sales,-42.31%,-26.00%,-20.57%,-40.62%,-15.29%
