Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,1.12B,1.79B,696M,2.88B,2.41B
Net Income Growth,-,60.61%,-61.20%,313.07%,-16.24%
"Depreciation, Depletion & Amortization",531M,557M,611M,651M,727M
Depreciation and Depletion,480M,506M,514M,516M,-
Amortization of Intangible Assets,51M,51M,97M,135M,-
Deferred Taxes & Investment Tax Credit,175M,(66M),(143M),(230M),(149M)
Deferred Taxes,175M,(66M),(143M),(230M),(149M)
Investment Tax Credit,-,-,-,-,-
Other Funds,175M,234M,1.13B,(219M),607M
Funds from Operations,2B,2.52B,2.29B,3.08B,3.59B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,564M,(2M),(11M),554M,(554M)
Receivables,(105M),(169M),625M,(398M),(10M)
Accounts Payable,349M,319M,(308M),440M,210M
Other Assets/Liabilities,1M,(62M),(156M),(43M),(153M)
Net Operating Cash Flow,2.56B,2.52B,2.28B,3.63B,3.04B
Net Operating Cash Flow Growth,-,-1.76%,-9.42%,59.25%,-16.30%
Net Operating Cash Flow / Sales,18.72%,16.97%,15.99%,22.34%,17.13%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(629M),(744M),(623M),(637M),(1.04B)
Capital Expenditures Growth,-,-18.28%,16.26%,-2.25%,-63.27%
Capital Expenditures / Sales,-4.60%,-5.02%,-4.37%,-3.92%,-5.86%
Capital Expenditures (Fixed Assets),(629M),(744M),(623M),(637M),(1.04B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,(1.05B),(1.07B),(18M)
Sale of Fixed Assets & Businesses,-,2M,-,-,-
Purchase/Sale of Investments,271M,1.22B,(5M),(42M),(10M)
Purchase of Investments,(478M),(14M),(5M),(42M),(10M)
Sale/Maturity of Investments,749M,1.23B,-,-,-
Other Uses,-,-,(23M),(152M),-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(358M),473M,(1.7B),(1.86B),(960M)
Net Investing Cash Flow Growth,-,232.12%,-458.99%,-9.78%,48.50%
Net Investing Cash Flow / Sales,-2.62%,3.19%,-11.91%,-11.47%,-5.41%
