Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,30.74B,34.34B,40.27B,76.03B,59.97B
Net Income Growth,-,11.74%,17.26%,88.81%,-21.12%
"Depreciation, Depletion & Amortization",9.04B,11.78B,13.7B,12.44B,15.93B
Depreciation and Depletion,8.16B,10.86B,12.91B,11.56B,15.29B
Amortization of Intangible Assets,871M,925M,792M,886M,641M
Deferred Taxes & Investment Tax Credit,778M,173M,1.39B,1.81B,(8.08B)
Deferred Taxes,778M,173M,1.39B,1.81B,(8.08B)
Investment Tax Credit,-,-,-,-,-
Other Funds,2.51B,7.4B,7.94B,2.89B,25.91B
Funds from Operations,43.06B,53.7B,63.3B,93.18B,93.73B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,4.91B,819M,1.83B,(1.52B),(2.24B)
Receivables,(2.17B),(4.34B),(6.52B),(9.1B),(2.32B)
Accounts Payable,1.07B,428M,694M,283M,707M
Other Assets/Liabilities,(836M),(584M),(695M),(1.07B),(4.68B)
Net Operating Cash Flow,47.97B,54.52B,65.12B,91.65B,91.5B
Net Operating Cash Flow Growth,-,13.65%,19.45%,40.73%,-0.17%
Net Operating Cash Flow / Sales,35.03%,33.78%,35.71%,35.59%,32.57%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(25.14B),(23.55B),(22.28B),(24.64B),(31.49B)
Capital Expenditures Growth,-,6.33%,5.38%,-10.59%,-27.78%
Capital Expenditures / Sales,-18.36%,-14.59%,-12.22%,-9.57%,-11.21%
Capital Expenditures (Fixed Assets),(25.14B),(23.55B),(22.28B),(24.64B),(31.49B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(1.49B),(2.52B),(738M),(2.62B),(6.97B)
Sale of Fixed Assets & Businesses,98M,-,-,-,-
Purchase/Sale of Investments,(1.97B),(4.02B),(9.82B),(8.81B),16.57B
Purchase of Investments,(52.23B),(102.25B),(143.75B),(138.03B),(81.41B)
Sale/Maturity of Investments,50.26B,98.23B,133.93B,129.23B,97.97B
Other Uses,-,-,-,-,-
Other Sources,950M,220M,2.8B,310M,35M
Net Investing Cash Flow,(28.5B),(29.49B),(32.77B),(35.52B),(20.3B)
Net Investing Cash Flow Growth,-,-3.46%,-11.13%,-8.39%,42.86%
Net Investing Cash Flow / Sales,-20.81%,-18.27%,-17.97%,-13.80%,-7.23%
