Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,810.47M,621.09M,(29.1M),898.79M,1.18B
Net Income Growth,-,-23.37%,-104.69%,"3,188.41%",31.59%
"Depreciation, Depletion & Amortization",241.64M,257.26M,272.84M,290.97M,347.82M
Depreciation and Depletion,152.66M,165.06M,177.88M,187.7M,190.38M
Amortization of Intangible Assets,88.97M,92.21M,94.96M,103.27M,157.44M
Deferred Taxes & Investment Tax Credit,3.89M,(55.94M),(27.72M),31.68M,2.22M
Deferred Taxes,3.89M,(55.94M),(27.72M),31.68M,2.22M
Investment Tax Credit,-,-,-,-,-
Other Funds,18.06M,87.11M,750.13M,48.17M,(46.37M)
Funds from Operations,1.07B,909.52M,966.14M,1.27B,1.49B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,71.1M,(17.51M),1.05B,(11.32M),(19.4M)
Receivables,(72.04M),(134.16M),957.51M,(258.99M),(244.37M)
Accounts Payable,364.64M,82.74M,89.35M,777.32M,676.41M
Other Assets/Liabilities,(148.32M),88.68M,(51.91M),(200.41M),(71.02M)
Net Operating Cash Flow,1.15B,892.01M,2.02B,1.26B,1.47B
Net Operating Cash Flow Growth,-,-22.11%,126.41%,-37.70%,16.58%
Net Operating Cash Flow / Sales,6.11%,5.09%,12.21%,6.67%,6.64%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(232.42M),(277.87M),(153.5M),(266.14M),(339.63M)
Capital Expenditures Growth,-,-19.56%,44.76%,-73.38%,-27.62%
Capital Expenditures / Sales,-1.24%,-1.59%,-0.93%,-1.41%,-1.54%
Capital Expenditures (Fixed Assets),(232.42M),(277.87M),(153.5M),(266.14M),(339.63M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,-,-
Sale of Fixed Assets & Businesses,14.67M,459M,405.44M,44.29M,178.61M
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,(278.37M),(744.33M),(80.3M),(284.32M),(1.68B)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(496.12M),(563.21M),171.64M,(506.16M),(1.68B)
Net Investing Cash Flow Growth,-,-13.52%,130.47%,-394.90%,-232.75%
Net Investing Cash Flow / Sales,-2.65%,-3.21%,1.04%,-2.68%,-7.62%
