Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,694.08M,952.49M,992.32M,1.08B,973.59M
Net Income Growth,-,37.23%,4.18%,9.06%,-10.04%
"Depreciation, Depletion & Amortization",96.19M,106.18M,126.72M,154.82M,163.85M
Depreciation and Depletion,64.8M,71.92M,78.12M,103.5M,118.74M
Amortization of Intangible Assets,31.4M,34.25M,48.59M,51.32M,45.11M
Deferred Taxes & Investment Tax Credit,38.98M,(88.36M),6.93M,(5.37M),(143.29M)
Deferred Taxes,38.98M,(88.36M),6.93M,(5.37M),(143.29M)
Investment Tax Credit,-,-,-,-,-
Other Funds,97.23M,81.03M,67.82M,128.58M,69.84M
Funds from Operations,926.48M,1.05B,1.19B,1.36B,1.06B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(6.96M),(352.79M),(58.52M),(347.81M),(275.73M)
Receivables,5.17M,(123.4M),(108.86M),(19.11M),167.34M
Accounts Payable,40.63M,26.19M,1.45M,108.95M,(131.27M)
Other Assets/Liabilities,(5.56M),(51.11M),40.83M,32.91M,1.64M
Net Operating Cash Flow,919.52M,698.55M,1.14B,1.01B,788.26M
Net Operating Cash Flow Growth,-,-24.03%,62.52%,-10.82%,-22.14%
Net Operating Cash Flow / Sales,27.47%,18.59%,27.12%,20.32%,16.22%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(160.36M),(120.41M),(187.47M),(309.59M),(246.19M)
Capital Expenditures Growth,-,24.91%,-55.69%,-65.14%,20.48%
Capital Expenditures / Sales,-4.79%,-3.20%,-4.48%,-6.21%,-5.07%
Capital Expenditures (Fixed Assets),(155.76M),(118.03M),(185.4M),(307.65M),(244.29M)
Capital Expenditures (Other Assets),(4.6M),(2.38M),(2.07M),(1.94M),(1.91M)
Net Assets from Acquisitions,(29.17M),(300.29M),(148.65M),(20.18M),(13.46M)
Sale of Fixed Assets & Businesses,1.6M,529K,1.98M,35K,2.4M
Purchase/Sale of Investments,(119.58M),(30.58M),73.61M,(145.64M),112.12M
Purchase of Investments,(403.18M),(789.35M),(1.05B),(1.51B),(1.05B)
Sale/Maturity of Investments,283.6M,758.77M,1.13B,1.36B,1.16B
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(307.5M),(450.75M),(260.52M),(475.37M),(145.12M)
Net Investing Cash Flow Growth,-,-46.58%,42.20%,-82.47%,69.47%
Net Investing Cash Flow / Sales,-9.19%,-12.00%,-6.22%,-9.54%,-2.99%
