Item,2022,2021,2020,2019,2018
Funds from Operations,1.49B,1.75B,1.11B,1.06B,1.31B
Funds from Operations Growth,-,16.80%,-36.38%,-4.92%,24.43%
Changes in Working Capital,(371.5M),(294.3M),(68.3M),185.4M,(53.1M)
Receivables,-,-,-,-,-
Inventories,-,-,-,-,-
Accounts Payable,-,-,-,-,-
Other Assets/Liabilities,-,-,-,-,-
Net Operating Cash Flow,1.12B,1.45B,1.04B,1.24B,1.26B
Net Operating Cash Flow Growth,-,29.24%,-28.18%,19.11%,1.56%
Item,2022,2021,2020,2019,2018
Capital Expenditures,(192.9M),(108.8M),(115M),(124.3M),(102.5M)
Capital Expenditures Growth,-,43.60%,-5.70%,-8.09%,17.54%
Capital Expenditures (Fixed Assets),-,-,-,-,-
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,-,-,290.5M,(1.47B)
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,(585.5M),(1.09B),(561.8M),(1.74B),(1.69B)
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,(16.6M),(21.8M),-,-,(63.8M)
Other Sources,-,-,-,26M,-
Net Investing Cash Flow,(795M),(1.22B),(676.8M),(1.55B),(3.33B)
