Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,2.38B,2.19B,2.25B,3.91B,4.61B
Net Income Growth,-,-7.95%,2.75%,73.57%,17.83%
"Depreciation, Depletion & Amortization",326.4M,309.28M,268.53M,307.15M,333.74M
Depreciation and Depletion,165.2M,181.98M,202.33M,236.55M,255.74M
Amortization of Intangible Assets,161.2M,127.3M,66.2M,70.6M,78M
Deferred Taxes & Investment Tax Credit,3.05M,(4.98M),(17.78M),(151.48M),(257.44M)
Deferred Taxes,3.05M,(4.98M),(17.78M),(151.48M),(257.44M)
Investment Tax Credit,-,-,-,-,-
Other Funds,262.82M,188.76M,195.83M,202.77M,214.31M
Funds from Operations,2.97B,2.68B,2.7B,4.27B,4.9B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(317.19M),491.52M,(571.88M),(678.74M),(1.8B)
Receivables,(501.63M),732.14M,(641.83M),(928.93M),(1.29B)
Accounts Payable,35.66M,(131.47M),208.48M,184.62M,167.88M
Other Assets/Liabilities,98.02M,(195.94M),61.85M,448.82M,551.45M
Net Operating Cash Flow,2.66B,3.18B,2.13B,3.59B,3.1B
Net Operating Cash Flow Growth,-,19.59%,-33.05%,68.74%,-13.61%
Net Operating Cash Flow / Sales,23.95%,32.94%,21.18%,24.53%,18.04%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(273.47M),(303.49M),(203.24M),(349.1M),(546.03M)
Capital Expenditures Growth,-,-10.98%,33.03%,-71.77%,-56.41%
Capital Expenditures / Sales,-2.47%,-3.15%,-2.02%,-2.39%,-3.18%
Capital Expenditures (Fixed Assets),(273.47M),(303.49M),(203.24M),(349.1M),(546.03M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(115.7M),-,-,-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,3.15B,(1.33B),(15M),464.52M,1.17B
Purchase of Investments,(2.53B),(2.93B),(2.9B),(3.39B),(567.82M)
Sale/Maturity of Investments,5.69B,1.6B,2.88B,3.85B,1.73B
Other Uses,(15.18M),(7.36M),(25.85M),(42.16M),(7.58M)
Other Sources,9K,-,1.92M,-,45K
Net Investing Cash Flow,2.75B,(1.64B),(244.08M),73.27M,612.28M
Net Investing Cash Flow Growth,-,-159.56%,85.09%,130.02%,735.63%
Net Investing Cash Flow / Sales,24.79%,-16.98%,-2.43%,0.50%,3.56%
