Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,21.36B,11.19B,16.3B,9.2B,22.03B
Net Income Growth,-,-47.61%,45.71%,-43.60%,139.53%
"Depreciation, Depletion & Amortization",6.27B,6.38B,5.8B,4.68B,5.19B
Depreciation and Depletion,1.51B,1.49B,1.33B,1.33B,1.49B
Amortization of Intangible Assets,4.76B,4.89B,4.46B,3.35B,3.7B
Deferred Taxes & Investment Tax Credit,(2.41B),(2.21B),596M,(1.58B),(4.29B)
Deferred Taxes,(2.41B),(2.21B),596M,(1.58B),(4.29B)
Investment Tax Credit,-,-,-,-,-
Other Funds,(9.75B),1.39B,(6.15B),2.41B,(3.15B)
Funds from Operations,15.47B,16.75B,16.54B,14.71B,19.78B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,1.33B,(927M),(3.95B),(307M),12.8B
Receivables,259M,(644M),(1.14B),(1.28B),(3.81B)
Accounts Payable,46M,431M,(340M),355M,1.24B
Other Assets/Liabilities,1.39B,3M,(1.39B),1.39B,16.5B
Net Operating Cash Flow,16.8B,15.83B,12.59B,14.4B,32.58B
Net Operating Cash Flow Growth,-,-5.80%,-20.47%,14.42%,126.20%
Net Operating Cash Flow / Sales,31.98%,29.50%,30.57%,34.58%,40.08%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(2.22B),(2.2B),(2.49B),(2.23B),(2.71B)
Capital Expenditures Growth,-,0.95%,-13.39%,10.60%,-21.79%
Capital Expenditures / Sales,-4.22%,-4.09%,-6.05%,-5.34%,-3.34%
Capital Expenditures (Fixed Assets),(1.96B),(2.04B),(2.07B),(2.23B),(2.71B)
Capital Expenditures (Other Assets),(261M),(154M),(418M),-,-
Net Assets from Acquisitions,(1B),-,(10.86B),-,-
Sale of Fixed Assets & Businesses,-,-,-,-,-
Purchase/Sale of Investments,(2.19B),6.43B,9.3B,(1.67B),(19.52B)
Purchase of Investments,(18.13B),(17.39B),(7.04B),(14.4B),(47.61B)
Sale/Maturity of Investments,15.94B,23.83B,16.34B,12.73B,28.1B
Other Uses,-,-,(94M),(374M),(317M)
Other Sources,-,-,-,11.99B,16M
Net Investing Cash Flow,(4.74B),4.53B,(3.95B),(4.27B),(22.55B)
Net Investing Cash Flow Growth,-,195.46%,-187.18%,-8.26%,-427.89%
Net Investing Cash Flow / Sales,-9.02%,8.43%,-9.58%,-10.25%,-27.74%
