Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,1.73B,1.11B,1.54B,2.03B,1.86B
Net Income Growth,-,-35.83%,39.01%,31.73%,-8.18%
"Depreciation, Depletion & Amortization",507.2M,772.58M,968.7M,999.8M,973.3M
Depreciation and Depletion,300.44M,454.47M,655.9M,686.4M,663.8M
Amortization of Intangible Assets,206.76M,318.11M,312.8M,313.4M,309.5M
Deferred Taxes & Investment Tax Credit,(620.73M),(143.38M),(131.1M),(145.3M),(80.3M)
Deferred Taxes,(620.73M),(143.38M),(131.1M),(145.3M),(80.3M)
Investment Tax Credit,-,-,-,-,-
Other Funds,378.97M,201.59M,399.5M,202.8M,258.5M
Funds from Operations,1.99B,1.94B,2.78B,3.09B,3.02B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(109.42M),4.16M,(88.7M),692.3M,(369.9M)
Receivables,(65.37M),38.52M,(121M),50.9M,(326.3M)
Accounts Payable,166.69M,113.79M,36.2M,227.2M,346.1M
Other Assets/Liabilities,(111.19M),(35.99M),76.5M,44.9M,(118M)
Net Operating Cash Flow,1.88B,1.94B,2.69B,3.78B,2.65B
Net Operating Cash Flow Growth,-,3.17%,38.38%,40.54%,-30.00%
Net Operating Cash Flow / Sales,12.57%,11.09%,15.03%,20.59%,13.27%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(222.77M),(250.96M),(328.9M),(303.8M),(372M)
Capital Expenditures Growth,-,-12.65%,-31.06%,7.63%,-22.45%
Capital Expenditures / Sales,-1.49%,-1.43%,-1.84%,-1.65%,-1.87%
Capital Expenditures (Fixed Assets),(222.77M),(250.96M),(328.9M),(303.8M),(372M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(8.81B),-,(77.3M),-,(210.9M)
Sale of Fixed Assets & Businesses,47.25M,38.35M,6.9M,60.7M,137.3M
Purchase/Sale of Investments,(61.53M),(39.04M),(63.3M),(79.3M),-
Purchase of Investments,(61.53M),(39.04M),(63.3M),(79.3M),-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,-,-,(30.8M)
Other Sources,-,257.6M,7.2M,-,-
Net Investing Cash Flow,(9.05B),(251.64M),(462.6M),(322.4M),(476.4M)
Net Investing Cash Flow Growth,-,97.22%,-83.83%,30.31%,-47.77%
Net Investing Cash Flow / Sales,-60.38%,-1.44%,-2.58%,-1.76%,-2.39%
