Item,2017,2018,2019,2020,2021
Funds from Operations,4.06B,4.21B,4.07B,3B,3.49B
Funds from Operations Growth,-,3.67%,-3.18%,-26.30%,16.22%
Changes in Working Capital,(59.18M),(8.65M),(36.4M),(425.02M),391.73M
Receivables,-,-,-,-,-
Inventories,-,-,-,-,-
Accounts Payable,-,-,-,-,-
Other Assets/Liabilities,(59.18M),(8.65M),(36.4M),(425.02M),391.73M
Net Operating Cash Flow,4B,4.2B,4.04B,2.58B,3.88B
Net Operating Cash Flow Growth,-,4.99%,-3.85%,-36.16%,50.59%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(935.59M),(745.97M),(815.81M),(4.06B),(784.92M)
Capital Expenditures Growth,-,20.27%,-9.36%,-398.13%,80.69%
Capital Expenditures (Fixed Assets),(671.1M),(694.91M),(803.01M),(457.12M),(527.84M)
Capital Expenditures (Other Assets),(264.49M),(51.06M),(12.8M),(3.61B),(257.08M)
Net Assets from Acquisitions,-,(81.51M),(6.85M),(16.11M),(2.22M)
Sale of Fixed Assets & Businesses,382K,161K,139K,220K,20.9M
Purchase/Sale of Investments,(258.44M),(151.6M),(503.38M),(229.56M),(26.92M)
Purchase of Investments,(314.71M),(176.6M),(511.02M),(259.56M),(106.45M)
Sale/Maturity of Investments,56.27M,25M,7.64M,30M,79.53M
Other Uses,-,-,-,-,-
Other Sources,27.48M,213.6M,13.48M,64.62M,15.8M
Net Investing Cash Flow,(1.17B),(765.32M),(1.31B),(4.24B),(777.36M)
