Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,257.69M,451.78M,467.47M,784.15M,1.01B
Net Income Growth,-,75.32%,3.47%,67.74%,29.39%
"Depreciation, Depletion & Amortization",108.08M,113.22M,120.66M,126.74M,125.49M
Depreciation and Depletion,66.12M,67.42M,70.83M,80.12M,91.07M
Amortization of Intangible Assets,41.95M,45.81M,49.82M,46.62M,34.41M
Deferred Taxes & Investment Tax Credit,37.11M,28.34M,(9.46M),(15.69M),(17.31M)
Deferred Taxes,37.11M,28.34M,(9.46M),(15.69M),(17.31M)
Investment Tax Credit,-,-,-,-,-
Other Funds,40.54M,47.07M,51.79M,43.11M,74.36M
Funds from Operations,443.41M,640.41M,630.46M,938.31M,1.2B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,183.09M,(163.53M),(51.71M),(69.38M),(98.77M)
Receivables,(80.58M),(17.94M),(70.44M),(129.45M),(57.78M)
Accounts Payable,43.57M,13.69M,49.28M,73.17M,129.5M
Other Assets/Liabilities,1.34M,(49.36M),10.44M,(29.83M),(171.38M)
Net Operating Cash Flow,626.5M,476.88M,578.75M,868.94M,1.1B
Net Operating Cash Flow Growth,-,-23.88%,21.36%,50.14%,26.40%
Net Operating Cash Flow / Sales,29.32%,22.70%,25.22%,27.84%,29.66%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(105.38M),(114.38M),(134.64M),(184.98M),(132.47M)
Capital Expenditures Growth,-,-8.54%,-17.72%,-37.38%,28.38%
Capital Expenditures / Sales,-4.93%,-5.44%,-5.87%,-5.93%,-3.58%
Capital Expenditures (Fixed Assets),(105.38M),(114.38M),(134.64M),(184.98M),(132.47M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,(169.47M),(79.74M),-,(12M)
Sale of Fixed Assets & Businesses,-,7.92M,-,149K,-
Purchase/Sale of Investments,(162.49M),1.2B,54.81M,(385.51M),264.83M
Purchase of Investments,(1.39B),(918.74M),(662.7M),(900.2M),(661.78M)
Sale/Maturity of Investments,1.23B,2.12B,717.51M,514.68M,926.61M
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(262.8M),923.01M,(156.66M),(569.79M),120.36M
Net Investing Cash Flow Growth,-,451.22%,-116.97%,-263.71%,121.12%
Net Investing Cash Flow / Sales,-12.30%,43.94%,-6.83%,-18.25%,3.25%
