Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,422.6M,532.36M,562.35M,748.96M,997.11M
Net Income Growth,-,25.97%,5.63%,33.18%,33.13%
"Depreciation, Depletion & Amortization",165.83M,177.35M,195.98M,217.12M,270.16M
Depreciation and Depletion,-,-,-,-,-
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,26.72M,11.89M,6.76M,(31.74M),29.15M
Deferred Taxes,26.72M,11.89M,6.76M,(31.74M),29.15M
Investment Tax Credit,-,-,-,-,-
Other Funds,29.66M,28.35M,30.84M,110.17M,51.69M
Funds from Operations,644.82M,749.95M,795.93M,1.04B,1.35B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(13.37M),(55.56M),15.79M,350.01M,(209.4M)
Receivables,-,-,-,-,-
Accounts Payable,57.05M,43.41M,23.06M,333.06M,179.53M
Other Assets/Liabilities,12.84M,(13.06M),1.58M,31.13M,(71.72M)
Net Operating Cash Flow,631.45M,694.39M,811.72M,1.39B,1.14B
Net Operating Cash Flow Growth,-,9.97%,16.90%,71.80%,-18.34%
Net Operating Cash Flow / Sales,8.70%,8.78%,9.72%,13.13%,8.94%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(250.4M),(278.53M),(217.45M),(294M),(628.43M)
Capital Expenditures Growth,-,-11.23%,21.93%,-35.20%,-113.75%
Capital Expenditures / Sales,-3.45%,-3.52%,-2.60%,-2.77%,-4.94%
Capital Expenditures (Fixed Assets),(250.4M),(278.53M),(217.45M),(294M),(628.43M)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,1.23M,-,-,-,-
Sale of Fixed Assets & Businesses,11.22M,2.22M,2.49M,1.79M,1.09M
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,-,-,-,-,-
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(237.96M),(276.31M),(214.96M),(292.21M),(627.34M)
Net Investing Cash Flow Growth,-,-16.12%,22.20%,-35.94%,-114.69%
Net Investing Cash Flow / Sales,-3.28%,-3.49%,-2.57%,-2.75%,-4.93%
