Item,2017,2018,2019,2020,2021
Net Income before Extraordinaries,(108.06M),1.21B,1.47B,(1.14B),(221.41M)
Net Income Growth,-,"1,215.64%",21.57%,-177.48%,80.50%
"Depreciation, Depletion & Amortization",395.87M,425.5M,465.55M,495.18M,544.85M
Depreciation and Depletion,349.37M,406.5M,449.05M,471.58M,503.65M
Amortization of Intangible Assets,46.5M,19M,16.5M,23.6M,41.2M
Deferred Taxes & Investment Tax Credit,(6.42M),(801.72M),(1.12B),1.06B,(228.77M)
Deferred Taxes,(6.42M),(801.72M),(1.12B),1.06B,(228.77M)
Investment Tax Credit,-,-,-,-,-
Other Funds,582.06M,421.02M,475.97M,593.52M,532.99M
Funds from Operations,863.45M,1.25B,1.28B,1.02B,627.66M
Extraordinaries,-,-,-,-,-
Changes in Working Capital,(32.24M),89.32M,148.91M,127.94M,189.18M
Receivables,2.67M,(130.87M),(67M),(188.04M),(189.95M)
Accounts Payable,8.37M,(1.53M),2.95M,18.23M,20.87M
Other Assets/Liabilities,(13.97M),126.47M,120.28M,174.4M,97.79M
Net Operating Cash Flow,831.21M,1.34B,1.43B,1.15B,816.84M
Net Operating Cash Flow Growth,-,61.18%,7.01%,-20.10%,-28.69%
Net Operating Cash Flow / Sales,34.02%,44.04%,41.44%,30.82%,16.09%
Item,2017,2018,2019,2020,2021
Capital Expenditures,(160.74M),(483.93M),(540.69M),(873.35M),(1.01B)
Capital Expenditures Growth,-,-201.06%,-11.73%,-61.53%,-15.82%
Capital Expenditures / Sales,-6.58%,-15.91%,-15.63%,-23.50%,-19.92%
Capital Expenditures (Fixed Assets),(160.74M),(483.93M),(540.69M),(873.35M),(1.01B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,-,(33.57M),(29.66M),(48.02M),(32.7M)
Sale of Fixed Assets & Businesses,2.78M,13.07M,6.16M,9.17M,8.46M
Purchase/Sale of Investments,20.13M,(1.55B),(554.06M),(637.32M),1.14B
Purchase of Investments,(2.69B),(5.34B),(5.85B),(6.28B),(3.85B)
Sale/Maturity of Investments,2.71B,3.79B,5.3B,5.65B,4.98B
Other Uses,(10.1M),(5M),(9.5M),(11.05M),(50.07M)
Other Sources,-,-,-,-,-
Net Investing Cash Flow,(112.93M),(2.06B),(1.12B),(1.56B),52.62M
Net Investing Cash Flow Growth,-,"-1,720.13%",45.71%,-39.84%,103.37%
Net Investing Cash Flow / Sales,-4.62%,-67.56%,-32.26%,-41.99%,1.04%
