Item,2018,2019,2020,2021,2022
Net Income before Extraordinaries,10.52B,6.16B,15.2B,13.71B,13.94B
Net Income Growth,-,-41.45%,146.73%,-9.83%,1.71%
"Depreciation, Depletion & Amortization",10.53B,10.68B,10.99B,11.15B,10.66B
Depreciation and Depletion,10.53B,10.68B,10.99B,11.15B,10.66B
Amortization of Intangible Assets,-,-,-,-,-
Deferred Taxes & Investment Tax Credit,(304M),(499M),320M,1.91B,(755M)
Deferred Taxes,(304M),(499M),320M,1.91B,(755M)
Investment Tax Credit,-,-,-,-,-
Other Funds,4.35B,11.12B,(926M),1.33B,6.94B
Funds from Operations,25.09B,27.46B,25.58B,28.1B,30.78B
Extraordinaries,-,-,-,-,-
Changes in Working Capital,3.24B,295M,(327M),7.97B,(6.6B)
Receivables,(1.07B),(368M),154M,(1.09B),(1.8B)
Accounts Payable,4.09B,1.83B,(274M),6.97B,5.52B
Other Assets/Liabilities,-,-,-,-,-
Net Operating Cash Flow,28.34B,27.75B,25.26B,36.07B,24.18B
Net Operating Cash Flow Growth,-,-2.06%,-9.00%,42.84%,-32.97%
Net Operating Cash Flow / Sales,5.67%,5.40%,4.82%,6.45%,4.22%
Item,2018,2019,2020,2021,2022
Capital Expenditures,(10.05B),(10.34B),(10.71B),(10.26B),(13.11B)
Capital Expenditures Growth,-,-2.92%,-3.49%,4.12%,-27.69%
Capital Expenditures / Sales,-2.01%,-2.01%,-2.04%,-1.84%,-2.29%
Capital Expenditures (Fixed Assets),(10.05B),(10.34B),(10.71B),(10.26B),(13.11B)
Capital Expenditures (Other Assets),-,-,-,-,-
Net Assets from Acquisitions,(383M),(14.66B),(56M),(180M),(359M)
Sale of Fixed Assets & Businesses,1.42B,1.4B,1.15B,271M,8.33B
Purchase/Sale of Investments,-,-,-,-,-
Purchase of Investments,-,-,-,-,-
Sale/Maturity of Investments,-,-,-,-,-
Other Uses,(58M),(431M),-,(1.85B),(879M)
Other Sources,-,-,-,-,3.24B
Net Investing Cash Flow,(9.07B),(24.04B),(9.13B),(11.92B),(6.02B)
Net Investing Cash Flow Growth,-,-165.06%,62.02%,-30.58%,49.53%
Net Investing Cash Flow / Sales,-1.81%,-4.67%,-1.74%,-2.13%,-1.05%
