Item,2017,2018,2019,2020,2021
Sales/Revenue,36.77B,40.99B,43.22B,44.33B,50.53B
Sales Growth,-,11.50%,5.42%,2.57%,14.00%
Cost of Goods Sold (COGS) incl. D&A,25.62B,28.41B,29.85B,30.3B,34.07B
COGS Growth,-,10.89%,5.09%,1.51%,12.42%
COGS excluding D&A,24.81B,27.48B,28.96B,28.53B,32.18B
Depreciation & Amortization Expense,801.79M,926.78M,892.76M,1.77B,1.89B
Depreciation,362.82M,423.47M,440.8M,1.23B,1.28B
Amortization of Intangibles,149.42M,170.19M,177.15M,239.66M,312.71M
Gross Income,11.15B,12.59B,13.36B,14.02B,16.47B
Gross Income Growth,-,12.89%,6.17%,4.95%,17.41%
Gross Profit Margin,-,-,-,-,32.59%
SG&A Expense,5.89B,6.59B,7.01B,7.46B,8.74B
SGA Growth,-,12.00%,6.29%,6.46%,17.15%
Research & Development,704.32M,790.78M,799.73M,870.61M,1.12B
Other SG&A,5.18B,5.8B,6.21B,6.59B,7.62B
Other Operating Expense,-,-,-,-,-
Unusual Expense,509.79M,-,-,-,-
EBIT after Unusual Expense,4.75B,-,-,-,-
Non Operating Income/Expense,(157.81M),(220.59M),(166.16M),175.88M,63.04M
Non-Operating Interest Income,37.94M,56.34M,87.51M,69.33M,33.37M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,15.55M,19.54M,22.96M,33.07M,59.49M
Interest Expense Growth,-,25.69%,17.52%,44.02%,79.89%
Gross Interest Expense,15.55M,19.54M,22.96M,33.07M,59.49M
Interest Capitalized,-,-,-,-,-
Pretax Income,4.62B,5.81B,6.25B,6.77B,7.76B
Pretax Income Growth,-,25.82%,7.64%,8.36%,14.57%
Pretax Margin,-,-,-,-,15.36%
Income Tax,981.1M,1.59B,1.41B,1.59B,1.77B
Income Tax - Current Domestic,169.27M,73.62M,245.69M,125.71M,313.73M
Income Tax - Current Foreign,1.18B,1.43B,1.26B,1.29B,1.4B
Income Tax - Deferred Domestic,(226.55M),276.08M,(182.81M),30.06M,2.37M
Income Tax - Deferred Foreign,(137.58M),(182.08M),86.45M,140.89M,58.56M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,3.63B,4.21B,4.85B,5.19B,5.99B
Minority Interest Expense,189.78M,154.69M,67.13M,77.47M,83.74M
Net Income,3.45B,4.06B,4.78B,5.11B,5.91B
Net Income Growth,-,17.84%,17.71%,6.88%,15.64%
Net Margin Growth,-,-,-,-,11.69%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,3.45B,4.06B,4.78B,5.11B,5.91B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,3.45B,4.06B,4.78B,5.11B,5.91B
EPS (Basic),5.56,6.46,7.49,8.03,9.31
EPS (Basic) Growth,-,16.19%,15.93%,7.18%,15.93%
Basic Shares Outstanding,620.1M,628.45M,638.1M,636.3M,634.75M
EPS (Diluted),5.44,6.34,7.36,7.89,9.16
EPS (Diluted) Growth,-,16.56%,16.09%,7.26%,15.97%
Diluted Shares Outstanding,660.46M,655.3M,650.2M,647.8M,645.91M
EBITDA,6.06B,6.92B,7.25B,8.34B,9.62B
EBITDA Growth,-,14.11%,4.73%,15.03%,15.36%
EBITDA Margin,-,-,-,-,19.03%
