Item,2017,2018,2019,2020,2021
Sales/Revenue,18.63B,21.34B,23.89B,23.83B,27.75B
Sales Growth,-,14.55%,11.97%,-0.28%,16.45%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,18.63B,21.34B,23.89B,23.83B,27.75B
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Total Expense,17.54B,20.21B,22.5B,22.85B,26.14B
Total Interest Expense,129.41M,104.57M,84.55M,68.18M,50.78M
Depreciation & Amortization Expense,406.11M,451.99M,439.22M,501.73M,525.87M
Other Operating Expense,-,-,-,-,-
Operating Income,1.09B,1.13B,1.39B,972.4M,1.61B
Operating Income Growth,-,3.69%,23.83%,-30.28%,65.68%
Non-Operating Income (Expense),241.89M,338.02M,208.45M,231.77M,893.73M
Non-Operating Interest Income,9.85M,8.59M,-,-,-
Miscellaneous Non Operating Expense,21.83M,4.77M,47.52M,105.61M,275.03M
Equity in Affiliates (Pretax),210.21M,324.66M,160.93M,126.16M,618.7M
Unusual Expense,27.35M,(19.21M),157.25M,166.02M,44.55M
Pretax Income,1.17B,1.38B,1.36B,969.97M,2.41B
Pretax Income Growth,-,17.73%,-1.28%,-28.75%,148.40%
Pretax Margin,-,-,-,-,8.68%
Income Taxes,467.76M,313.06M,69.9M,214.1M,567.51M
Income Tax - Current Domestic,296.69M,209.34M,423K,52.24M,390.18M
Income Tax - Current Foreign,123.84M,149.19M,163.83M,88.99M,238.27M
Income Tax - Deferred Domestic,44.62M,(11.36M),(80.19M),64.91M,30.21M
Income Tax - Deferred Foreign,2.61M,(34.12M),(14.17M),7.96M,(91.16M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,703.58M,1.07B,1.29B,755.87M,1.84B
Minority Interest Expense,6.47M,2.73M,9.09M,3.88M,5.34M
Net Income,697.11M,1.06B,1.28B,751.99M,1.84B
Net Income Growth,-,52.52%,20.61%,-41.36%,144.23%
Net Margin Growth,-,-,-,-,6.62%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,697.11M,1.06B,1.28B,751.99M,1.84B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,697.11M,1.06B,1.28B,751.99M,1.84B
EPS (Basic),2.06,3.13,3.82,2.24,5.48
EPS (Basic) Growth,-,51.78%,21.88%,-41.26%,144.21%
Basic Shares Outstanding,337.66M,339.32M,335.8M,335.2M,335.23M
EPS (Diluted),2.05,3.1,3.77,2.22,5.41
EPS (Diluted) Growth,-,51.48%,21.53%,-40.99%,143.28%
Diluted Shares Outstanding,340.78M,343.12M,340.52M,338.39M,339.72M
