Item,2017,2018,2019,2020,2021
Sales/Revenue,3.64B,4.41B,4.88B,4.88B,4.69B
Sales Growth,-,21.00%,10.71%,0.07%,-3.97%
Total Investment Income,(3M),97.4M,11.1M,-,-
Sundry Revenue/Income,1.2M,1.2M,1.2M,-,-
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",3.64B,4.31B,4.87B,4.88B,4.69B
Commission & Fee Income,3.64B,4.31B,4.87B,4.88B,4.69B
Total Expense,1.33B,1.76B,2.28B,2.25B,2.04B
Total Interest Expense,118.2M,158.9M,179.2M,168.9M,166.9M
Depreciation & Amortization Expense,208.5M,248.7M,473.3M,464.4M,385.4M
Other Operating Expense,563.9M,734.5M,898.7M,856.5M,837M
Operating Income,2.31B,2.64B,2.6B,2.64B,2.65B
Operating Income Growth,-,14.51%,-1.66%,1.43%,0.30%
Non-Operating Income (Expense),335.7M,292.8M,268.7M,250.9M,494.6M
Non-Operating Interest Income,534.7M,647.7M,626.8M,182.7M,306.9M
Miscellaneous Non Operating Expense,(328.2M),(507.7M),(534.9M),(122.4M),(58.1M)
Equity in Affiliates (Pretax),129.2M,152.8M,176.8M,190.6M,245.8M
Unusual Expense,-,-,-,(2.7M),(400.7M)
Pretax Income,2.53B,2.78B,2.69B,2.72B,3.37B
Pretax Income Growth,-,9.96%,-3.18%,1.21%,23.93%
Pretax Margin,-,-,-,-,71.94%
Income Taxes,(1.54B),814.1M,573.8M,615.7M,736.7M
Income Tax - Current Domestic,869.4M,679M,558.7M,628.5M,682.9M
Income Tax - Current Foreign,39.1M,20.8M,18.8M,28.8M,19M
Income Tax - Deferred Domestic,(2.45B),118.5M,21.3M,(34.5M),6M
Income Tax - Deferred Foreign,(100K),(4.2M),(25M),(7.1M),28.8M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,(300K)
Consolidated Net Income,4.06B,1.96B,2.12B,2.11B,2.64B
Minority Interest Expense,-,1.5M,(700K),1.2M,500K
Net Income,4.06B,1.96B,2.12B,2.11B,2.64B
Net Income Growth,-,-51.71%,7.86%,-0.53%,25.22%
Net Margin Growth,-,-,-,-,56.21%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,4.06B,1.96B,2.12B,2.11B,2.64B
Preferred Dividends,-,-,-,-,19M
Net Income Available to Common,4.06B,1.96B,2.12B,2.11B,2.62B
EPS (Basic),12,5.73,5.93,5.88,7.3
EPS (Basic) Growth,-,-52.25%,3.42%,-0.70%,24.12%
Basic Shares Outstanding,338.71M,342.34M,357.16M,357.76M,358.34M
EPS (Diluted),11.94,5.71,5.91,5.87,7.29
EPS (Diluted) Growth,-,-52.18%,3.47%,-0.61%,24.18%
Diluted Shares Outstanding,340.23M,343.74M,358.24M,358.52M,358.93M
