Item,2017,2018,2019,2020,2021
Sales/Revenue,7.89B,6.62B,8.11B,8.69B,8.48B
Sales Growth,-,-16.16%,22.55%,7.20%,-2.47%
Cost of Goods Sold (COGS) incl. D&A,4.85B,4.21B,5.44B,5.71B,5.76B
COGS Growth,-,-13.13%,29.14%,4.98%,0.88%
COGS excluding D&A,4.53B,3.94B,5.08B,5.39B,5.45B
Depreciation & Amortization Expense,318M,279M,363M,328M,317M
Depreciation,299M,259M,315M,285M,275M
Amortization of Intangibles,19M,20M,48M,43M,42M
Gross Income,3.04B,2.4B,2.67B,2.98B,2.71B
Gross Income Growth,-,-20.99%,11.00%,11.74%,-8.90%
Gross Profit Margin,-,-,-,-,32.01%
SG&A Expense,1.37B,1.28B,1.47B,1.61B,1.48B
SGA Growth,-,-6.42%,14.90%,9.50%,-8.37%
Research & Development,98M,91M,88M,92M,84M
Other SG&A,1.27B,1.19B,1.39B,1.52B,1.39B
Other Operating Expense,-,-,-,-,-
Unusual Expense,242M,309M,141M,152M,(8M)
EBIT after Unusual Expense,1.43B,(309M),1.05B,1.21B,1.24B
Non Operating Income/Expense,(31M),216M,(74M),(179M),301M
Non-Operating Interest Income,5M,3M,2M,4M,1M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,108M,199M,354M,272M,209M
Interest Expense Growth,-,84.26%,77.89%,-23.16%,-23.16%
Gross Interest Expense,110M,202M,357M,277M,213M
Interest Capitalized,2M,3M,3M,5M,4M
Pretax Income,1.29B,830M,625M,766M,1.34B
Pretax Income Growth,-,-35.81%,-24.70%,22.56%,74.41%
Pretax Margin,-,-,-,-,15.76%
Income Tax,406M,106M,151M,174M,328M
Income Tax - Current Domestic,277M,119M,123M,178M,185M
Income Tax - Current Foreign,36M,11M,5M,3M,6M
Income Tax - Deferred Domestic,79M,(12M),26M,(8M),135M
Income Tax - Deferred Foreign,14M,(12M),(3M),1M,2M
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,887M,724M,474M,592M,1.01B
Minority Interest Expense,-,-,-,-,-
Net Income,887M,724M,474M,592M,1.01B
Net Income Growth,-,-18.38%,-34.53%,24.89%,70.27%
Net Margin Growth,-,-,-,-,11.89%
Extraordinaries & Discontinued Operations,-,(463M),(263M),1.04B,(6M)
Extra Items & Gain/Loss Sale Of Assets,-,-,(61M),1.04B,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,(463M),(202M),(3M),(6M)
Net Income After Extraordinaries,887M,261M,211M,1.63B,1B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,887M,261M,272M,589M,1B
EPS (Basic),2.91,0.87,0.9,1.95,3.31
EPS (Basic) Growth,-,-70.20%,4.21%,115.84%,69.56%
Basic Shares Outstanding,305M,301M,301M,302M,303M
EPS (Diluted),2.89,0.86,0.9,1.94,3.29
EPS (Diluted) Growth,-,-70.10%,4.22%,115.11%,69.56%
Diluted Shares Outstanding,307M,302M,302M,304M,305M
EBITDA,1.99B,1.4B,1.56B,1.69B,1.55B
EBITDA Growth,-,-29.64%,11.23%,8.87%,-8.33%
EBITDA Margin,-,-,-,-,18.31%
