Item,2022,2018,2019,2020,2021
Sales/Revenue,51.56B,49.33B,51.9B,49.3B,49.82B
Sales Growth,-,-4.32%,5.21%,-5.01%,1.05%
Cost of Goods Sold (COGS) incl. D&A,-,18.25B,18.73B,17.76B,18.14B
COGS Growth,-,-,2.65%,-5.20%,2.13%
COGS excluding D&A,-,16.06B,16.84B,15.95B,16.28B
Depreciation & Amortization Expense,-,2.19B,1.9B,1.81B,1.86B
Depreciation,-,1.33B,1.12B,1.01B,931M
Amortization of Intangibles,-,860M,774M,800M,931M
Gross Income,31.94B,31.08B,33.17B,31.54B,31.68B
Gross Income Growth,-,-2.68%,6.72%,-4.90%,0.43%
Gross Profit Margin,-,-,-,-,63.59%
SG&A Expense,-,17.91B,17.99B,17.44B,18.07B
SGA Growth,-,-,0.43%,-3.04%,3.59%
Research & Development,-,6.33B,6.58B,6.35B,6.55B
Other SG&A,-,11.58B,11.41B,11.1B,11.52B
Other Operating Expense,-,448M,640M,-,-
Unusual Expense,-,573M,389M,480M,753M
EBIT after Unusual Expense,-,12.15B,14.15B,13.62B,12.86B
Non Operating Income/Expense,-,328M,(20M),17M,223M
Non-Operating Interest Income,-,1.51B,1.31B,920M,618M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,-,942M,866M,585M,434M
Interest Expense Growth,-,-,-8.07%,-32.45%,-25.81%
Gross Interest Expense,-,942M,866M,585M,434M
Interest Capitalized,-,-,-,-,-
Pretax Income,14.48B,13.04B,14.57B,13.97B,13.26B
Pretax Income Growth,-,-9.93%,11.75%,-4.12%,-5.07%
Pretax Margin,-,-,-,-,26.62%
Income Tax,2.67B,12.93B,2.95B,2.76B,2.67B
Income Tax - Current Domestic,-,10.24B,2.06B,1.37B,2.47B
Income Tax - Current Foreign,-,1.79B,1.24B,1.43B,583M
Income Tax - Deferred Domestic,-,924M,(86M),(87M),(249M)
Income Tax - Deferred Foreign,-,(24M),(264M),49M,(135M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,11.81B,110M,11.62B,11.21B,10.59B
Minority Interest Expense,-,-,-,-,-
Net Income,-,110M,11.62B,11.21B,10.59B
Net Income Growth,-,-,"10,464.55%",-3.50%,-5.56%
Net Margin Growth,-,-,-,-,21.26%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,-,110M,11.62B,11.21B,10.59B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,-,110M,11.62B,11.21B,10.59B
EPS (Basic),2.83,0.02,2.63,2.65,2.51
EPS (Basic) Growth,-,-99.29%,"13,050.00%",0.66%,-5.24%
Basic Shares Outstanding,4.17B,4.84B,4.42B,4.24B,4.22B
EPS (Diluted),-,0.02,2.61,2.64,2.5
EPS (Diluted) Growth,-,-,"12,950.00%",1.00%,-5.16%
Diluted Shares Outstanding,4.19B,4.88B,4.45B,4.25B,4.24B
EBITDA,-,14.91B,16.44B,15.91B,15.47B
EBITDA Growth,-,-,10.24%,-3.22%,-2.74%
EBITDA Margin,-,-,-,-,31.05%
