Item,2017,2018,2019,2020,2021
Sales/Revenue,2.82B,2.97B,3.01B,3.24B,3.22B
Sales Growth,-,5.28%,1.23%,7.51%,-0.60%
Cost of Goods Sold (COGS) incl. D&A,438.79M,487.8M,511.57M,558.88M,767.98M
COGS Growth,-,11.17%,4.87%,9.25%,37.41%
COGS excluding D&A,286.82M,307.76M,290.47M,350.94M,420.96M
Depreciation & Amortization Expense,151.97M,180.04M,221.1M,207.95M,347.02M
Depreciation,87.14M,78.98M,122.24M,114.83M,112.72M
Amortization of Intangibles,64.84M,62.91M,54.03M,35.58M,157.66M
Gross Income,2.39B,2.49B,2.5B,2.68B,2.45B
Gross Income Growth,-,4.20%,0.52%,7.16%,-8.54%
Gross Profit Margin,-,-,-,-,76.13%
SG&A Expense,1.72B,1.79B,1.93B,2.06B,2.09B
SGA Growth,-,3.92%,7.63%,6.72%,1.74%
Research & Development,415.8M,439.98M,518.88M,538.08M,581.6M
Other SG&A,1.31B,1.35B,1.41B,1.52B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,99.12M,15.16M,38.58M,31.85M,93.88M
EBIT after Unusual Expense,563.55M,680.22M,532.98M,588.94M,262.57M
Non Operating Income/Expense,10.6M,(10.63M),4.21M,27.52M,(4.86M)
Non-Operating Interest Income,27.81M,40.03M,18.28M,3.11M,1.23M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,51.61M,80.16M,45.97M,64.69M,91.79M
Interest Expense Growth,-,55.33%,-42.65%,40.70%,41.90%
Gross Interest Expense,51.61M,80.16M,45.97M,64.69M,91.79M
Interest Capitalized,-,-,-,-,-
Pretax Income,550.35M,629.46M,509.5M,554.88M,167.15M
Pretax Income Growth,-,14.37%,-19.06%,8.91%,-69.88%
Pretax Margin,-,-,-,-,5.20%
Income Tax,528.36M,53.79M,(172.31M),50.43M,(140.35M)
Income Tax - Current Domestic,377.68M,(3.2M),9.42M,4.55M,(11.04M)
Income Tax - Current Foreign,56.53M,70.15M,63.21M,49.86M,31.53M
Income Tax - Deferred Domestic,99.63M,1.65M,(35.92M),(8.13M),(33.31M)
Income Tax - Deferred Foreign,(5.47M),(14.8M),(209.01M),4.16M,(127.54M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,21.99M,575.67M,681.81M,504.45M,307.5M
Minority Interest Expense,-,-,-,-,-
Net Income,21.99M,575.67M,681.81M,504.45M,307.5M
Net Income Growth,-,"2,518.45%",18.44%,-26.01%,-39.04%
Net Margin Growth,-,-,-,-,9.56%
Extraordinaries & Discontinued Operations,(42.7M),-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,(42.7M),-,-,-,-
Net Income After Extraordinaries,(20.72M),575.67M,681.81M,504.45M,307.5M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,(20.72M),575.67M,681.81M,504.45M,307.5M
EPS (Basic),(0.14),4.23,5.21,4.08,2.48
EPS (Basic) Growth,-,"3,179.99%",23.12%,-21.66%,-39.31%
Basic Shares Outstanding,150.78M,136.03M,130.85M,123.58M,124.11M
EPS (Diluted),(0.14),3.94,5.03,4,2.44
EPS (Diluted) Growth,-,"2,970.96%",27.56%,-20.53%,-39.09%
Diluted Shares Outstanding,150.78M,145.93M,135.5M,126.15M,126.26M
EBITDA,814.65M,875.42M,792.67M,828.74M,703.46M
EBITDA Growth,-,7.46%,-9.45%,4.55%,-15.12%
EBITDA Margin,-,-,-,-,21.87%
