Item,2017,2018,2019,2020,2021
Sales/Revenue,6.82B,6.99B,7.14B,6.68B,7.91B
Sales Growth,-,2.51%,2.06%,-6.34%,18.30%
Cost of Goods Sold (COGS) incl. D&A,4.28B,4.42B,4.51B,4.19B,4.93B
COGS Growth,-,3.29%,2.06%,-7.01%,17.68%
COGS excluding D&A,3.99B,4.13B,4.23B,3.91B,4.64B
Depreciation & Amortization Expense,283.28M,282.58M,272.29M,279.05M,290.12M
Depreciation,133.11M,138.71M,133.34M,140.01M,147.31M
Amortization of Intangibles,150.17M,143.87M,138.95M,139.04M,142.81M
Gross Income,2.55B,2.58B,2.63B,2.49B,2.98B
Gross Income Growth,-,1.21%,2.07%,-5.21%,19.35%
Gross Profit Margin,-,-,-,-,37.63%
SG&A Expense,1.69B,1.63B,1.58B,1.51B,1.67B
SGA Growth,-,-3.44%,-3.23%,-4.28%,10.54%
Research & Development,130.54M,143.03M,140.96M,142.1M,157.83M
Other SG&A,1.56B,1.49B,1.43B,1.37B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,52.26M,104.89M,77.3M,51.47M,38.44M
EBIT after Unusual Expense,(52.26M),843.11M,976.7M,932.99M,1.27B
Non Operating Income/Expense,205.39M,4.36M,(12.4M),17.11M,233.27M
Non-Operating Interest Income,8.49M,8.88M,4.53M,3.57M,4.44M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,144.95M,130.97M,125.82M,111.94M,106.32M
Interest Expense Growth,-,-9.64%,-3.94%,-11.03%,-5.02%
Gross Interest Expense,144.95M,130.97M,125.82M,111.94M,106.32M
Interest Capitalized,-,-,-,-,-
Pretax Income,875.82M,725.38M,843.01M,841.73M,1.4B
Pretax Income Growth,-,-17.18%,16.22%,-0.15%,66.42%
Pretax Margin,-,-,-,-,17.72%
Income Tax,129.15M,134.23M,165.09M,158.28M,277.01M
Income Tax - Current Domestic,207.42M,61.57M,87.78M,92.62M,179.1M
Income Tax - Current Foreign,43.23M,86.52M,102.28M,97.11M,154.15M
Income Tax - Deferred Domestic,(123.13M),1.5M,(4.26M),(7.75M),(10.98M)
Income Tax - Deferred Foreign,1.63M,(15.36M),(20.71M),(23.69M),(45.26M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,746.66M,591.15M,677.92M,683.45M,1.12B
Minority Interest Expense,-,-,-,-,-
Net Income,746.66M,591.15M,677.92M,683.45M,1.12B
Net Income Growth,-,-20.83%,14.68%,0.82%,64.43%
Net Margin Growth,-,-,-,-,14.21%
Extraordinaries & Discontinued Operations,65M,(20.88M),-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,65M,(20.88M),-,-,-
Net Income After Extraordinaries,811.67M,570.27M,677.92M,683.45M,1.12B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,811.67M,570.27M,677.92M,683.45M,1.12B
EPS (Basic),5.21,3.8,4.67,4.74,7.81
EPS (Basic) Growth,-,-27.06%,22.87%,1.62%,64.58%
Basic Shares Outstanding,155.69M,149.87M,145.2M,144.05M,143.92M
EPS (Diluted),5.15,3.75,4.61,4.7,7.74
EPS (Diluted) Growth,-,-27.18%,22.98%,1.93%,64.57%
Diluted Shares Outstanding,157.74M,152.13M,146.99M,145.39M,145.27M
EBITDA,1.14B,1.23B,1.33B,1.26B,1.6B
EBITDA Growth,-,7.72%,7.78%,-4.73%,26.47%
EBITDA Margin,-,-,-,-,20.21%
