Item,2018,2019,2020,2021,2022
Sales/Revenue,5.16B,4.93B,5.47B,5.66B,7.01B
Sales Growth,-,-4.42%,10.83%,3.53%,23.79%
Cost of Goods Sold (COGS) incl. D&A,1.29B,1.35B,1.39B,1.52B,2.03B
COGS Growth,-,4.59%,3.42%,9.56%,33.27%
COGS excluding D&A,1.15B,1.2B,1.24B,1.34B,1.55B
Depreciation & Amortization Expense,136M,145M,150M,181M,486M
Depreciation,125M,122M,128M,147M,170M
Amortization of Intangibles,11M,23M,22M,34M,316M
Gross Income,3.87B,3.59B,4.08B,4.14B,4.97B
Gross Income Growth,-,-7.41%,13.60%,1.47%,20.29%
Gross Profit Margin,-,-,-,-,71.01%
SG&A Expense,2.44B,2.59B,2.69B,3.05B,3.83B
SGA Growth,-,6.16%,3.95%,13.66%,25.47%
Research & Development,1.33B,1.42B,1.55B,1.78B,2.2B
Other SG&A,1.11B,1.16B,1.14B,1.27B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,16M,(36M),9M,28M,(10M)
EBIT after Unusual Expense,1.42B,1.04B,1.38B,1.05B,1.15B
Non Operating Income/Expense,20M,(2M),73M,(15M),(17M)
Non-Operating Interest Income,50M,88M,100M,24M,4M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,44M,45M,44M,45M,58M
Interest Expense Growth,-,2.27%,-2.22%,2.27%,28.89%
Gross Interest Expense,44M,45M,44M,45M,58M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.45B,1.08B,1.51B,1.02B,1.08B
Pretax Income Growth,-,-25.53%,39.76%,-32.56%,6.29%
Pretax Margin,-,-,-,-,15.43%
Income Tax,406M,60M,(1.53B),180M,292M
Income Tax - Current Domestic,142M,34M,297M,275M,239M
Income Tax - Current Foreign,61M,42M,48M,47M,381M
Income Tax - Deferred Domestic,206M,(18M),(16M),(28M),(216M)
Income Tax - Deferred Foreign,(3M),2M,(1.86B),(114M),(112M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.04B,1.02B,3.04B,837M,789M
Minority Interest Expense,-,-,-,-,-
Net Income,1.04B,1.02B,3.04B,837M,789M
Net Income Growth,-,-2.30%,198.23%,-72.46%,-5.73%
Net Margin Growth,-,-,-,-,11.26%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,1.04B,1.02B,3.04B,837M,789M
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.04B,1.02B,3.04B,837M,789M
EPS (Basic),3.39,3.36,10.37,2.9,2.78
EPS (Basic) Growth,-,-0.88%,208.69%,-72.08%,-4.07%
Basic Shares Outstanding,308M,303M,293M,289M,284M
EPS (Diluted),3.34,3.33,10.3,2.87,2.76
EPS (Diluted) Growth,-,-0.30%,209.36%,-72.18%,-3.76%
Diluted Shares Outstanding,312M,306M,295M,292M,286M
EBITDA,1.58B,1.15B,1.54B,1.26B,1.63B
EBITDA Growth,-,-27.17%,34.09%,-17.95%,29.00%
EBITDA Margin,-,-,-,-,23.24%
