Item,2017,2018,2019,2020,2021
Sales/Revenue,13.84B,14.67B,12.56B,11.79B,12.73B
Sales Growth,-,6.02%,-14.36%,-6.14%,8.00%
Cost of Goods Sold (COGS) incl. D&A,8.01B,8.61B,7.03B,6.89B,7.51B
COGS Growth,-,7.52%,-18.30%,-2.01%,8.98%
COGS excluding D&A,7.11B,7.67B,6.26B,6.08B,6.67B
Depreciation & Amortization Expense,893.3M,938.3M,775.3M,812.7M,843.1M
Depreciation,585.7M,621.3M,569.1M,594.3M,604.4M
Amortization of Intangibles,307.6M,317M,206.2M,218.4M,238.7M
Gross Income,5.83B,6.06B,5.53B,4.9B,5.22B
Gross Income Growth,-,3.94%,-8.76%,-11.41%,6.61%
Gross Profit Margin,-,-,-,-,41.01%
SG&A Expense,3.63B,4.08B,3.62B,3.19B,3.54B
SGA Growth,-,12.34%,-11.22%,-11.93%,10.94%
Research & Development,201M,216M,190M,185M,186M
Other SG&A,3.43B,3.86B,3.43B,3B,-
Other Operating Expense,-,-,-,-,-
Unusual Expense,161M,105.9M,118.5M,286.7M,155.6M
EBIT after Unusual Expense,(161M),1.88B,(118.5M),1.42B,1.53B
Non Operating Income/Expense,(28.7M),188.2M,159.7M,(30M),89.2M
Non-Operating Interest Income,19.6M,14.9M,23.7M,14.6M,12.3M
Equity in Affiliates (Pretax),-,-,-,-,-
Interest Expense,267M,274.1M,241.9M,246.1M,216.2M
Interest Expense Growth,-,2.66%,-11.75%,1.74%,-12.15%
Gross Interest Expense,267M,274.1M,241.9M,246.1M,216.2M
Interest Capitalized,-,-,-,-,-
Pretax Income,1.76B,1.8B,1.73B,1.16B,1.41B
Pretax Income Growth,-,2.39%,-4.05%,-32.93%,21.77%
Pretax Margin,-,-,-,-,11.11%
Income Tax,243.8M,364.3M,288.6M,176.6M,270.2M
Income Tax - Current Domestic,241.8M,103.5M,134.4M,(43.9M),30.9M
Income Tax - Current Foreign,355.1M,175.7M,176.3M,259.8M,240.2M
Income Tax - Deferred Domestic,(331.4M),51.8M,37.9M,12M,3.6M
Income Tax - Deferred Foreign,(21.7M),33.3M,(60M),(51.3M),(4.5M)
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,1.52B,1.44B,1.44B,984.8M,1.14B
Minority Interest Expense,14M,11.2M,17.3M,17.4M,14.1M
Net Income,1.5B,1.43B,1.43B,967.4M,1.13B
Net Income Growth,-,-5.02%,-0.24%,-32.14%,16.80%
Net Margin Growth,-,-,-,-,8.87%
Extraordinaries & Discontinued Operations,-,-,133.3M,(2.17B),-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,133.3M,(2.17B),-
Net Income After Extraordinaries,1.5B,1.43B,1.56B,(1.21B),1.13B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,1.5B,1.43B,1.56B,(1.21B),1.13B
EPS (Basic),5.2,4.95,5.41,(4.2),3.95
EPS (Basic) Growth,-,-4.81%,9.31%,-177.60%,193.99%
Basic Shares Outstanding,289.6M,288.6M,288.1M,287M,286.3M
EPS (Diluted),5.12,4.88,5.33,(4.2),3.91
EPS (Diluted) Growth,-,-4.69%,9.21%,-178.79%,193.08%
Diluted Shares Outstanding,294M,292.8M,292.5M,287M,289.1M
EBITDA,3.09B,2.92B,2.68B,2.52B,2.53B
EBITDA Growth,-,-5.59%,-8.08%,-6.02%,0.21%
EBITDA Margin,-,-,-,-,19.85%
