Item,2017,2018,2019,2020,2021
Sales/Revenue,90.04B,92.11B,104.21B,121.87B,138.64B
Sales Growth,-,2.29%,13.15%,16.94%,13.76%
Premiums Earned,83.65B,85.42B,94.17B,104.11B,117.37B
Total Investment Income,866.5M,970M,1.01B,877M,1.38B
Realized Gains (Losses),111.7M,(206M),67M,182M,318M
Other Operating Income,5.41B,5.92B,8.97B,16.7B,19.57B
"Losses, Claims & Reserves",72.24B,71.9B,81.79B,88.05B,102.65B
"Losses, Claims & Reserves Growth",-,-0.47%,13.76%,7.65%,16.58%
"Losses, Benefits & Adjustments",72.24B,71.9B,81.79B,88.05B,102.65B
Loss Ratio,-,-,-,-,N/A
"Selling, General & Admin. Expenses & Other",12.82B,14.37B,15.69B,26.11B,27.05B
SGA Growth,-,12.13%,9.19%,66.38%,3.59%
"Selling, General & Admin. Expenses",12.82B,14.37B,13.7B,17.16B,16.15B
"Other Selling, General & Admin. Expense",-,-,-,-,-
Underwriting & Commissions,-,-,-,-,-
Other Operating Expense,-,-,1.99B,8.95B,10.9B
Operating Income Before Interest Expense,4.99B,5.84B,6.73B,7.71B,8.95B
Operating Income Growth,-,17.09%,15.35%,14.53%,16.02%
"Interest Expense, Net of Interest Capitalized",739M,753M,746M,784M,798M
Interest Expense (excl. Interest Capitalized),739M,753M,746M,784M,798M
Interest Capitalized,-,-,-,-,-
Operating Income After Interest Expense,4.99B,5.84B,6.73B,7.71B,8.95B
Non-Operating Income (Expense),-,-,-,-,-
Miscellaneous Non Operating Expense,-,-,-,-,-
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,282.4M,16M,2M,689M,223M
Pretax Income,3.96B,5.07B,5.99B,6.24B,7.93B
Pretax Income Growth,-,27.86%,18.09%,4.23%,27.04%
Income Tax,121M,1.32B,1.18B,1.67B,1.83B
Income Tax - Current Domestic,1.4B,1.21B,1.1B,2.19B,1.65B
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,(1.27B),112M,75M,(526M),180M
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,-,-,-
Equity in Affiliates,-,-,-,-,-
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,3.84B,3.75B,4.81B,4.57B,6.1B
Minority Interest Expense,-,-,-,-,(9M)
Net Income,3.84B,3.75B,4.81B,4.57B,6.1B
Net Income Growth,-,-2.41%,28.19%,-4.89%,33.51%
Net Margin Growth,-,-,-,-,4.40%
Extraordinaries & Discontinued Operations,-,-,-,-,-
Extra Items & Gain/Loss Sale Of Assets,-,-,-,-,-
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,3.84B,3.75B,4.81B,4.57B,6.1B
Preferred Dividends,-,-,-,-,-
Net Income Available to Common,3.84B,3.75B,4.81B,4.57B,6.1B
EPS (Basic),14.7,14.53,18.81,18.23,25.04
EPS (Basic) Growth,-,-1.13%,29.49%,-3.11%,37.34%
Basic Shares Outstanding,261.5M,258.1M,255.5M,250.8M,243.8M
EPS (Diluted),14.35,14.19,18.47,17.98,24.73
EPS (Diluted) Growth,-,-1.09%,30.11%,-2.64%,37.57%
Diluted Shares Outstanding,267.8M,264.2M,260.3M,254.3M,246.8M
