Item,2017,2018,2019,2020,2021
Sales/Revenue,2.46B,2.57B,2.69B,2.53B,2.43B
Sales Growth,-,4.32%,4.63%,-5.93%,-3.82%
Total Investment Income,-,-,-,-,-
Sundry Revenue/Income,717K,753K,-,-,-
Trading Account Income,-,-,-,-,-
"Trust Income, Commissions & Fees",-,-,-,-,-
Commission & Fee Income,-,-,-,-,-
Total Expense,1.63B,1.72B,1.78B,1.74B,1.81B
Total Interest Expense,373.56M,406.22M,380.56M,338.93M,271.82M
Depreciation & Amortization Expense,747.58M,790.12M,831.08M,820.83M,838.27M
Other Operating Expense,-,-,-,-,-
Operating Income,837.14M,846.02M,908.52M,786.18M,620.43M
Operating Income Growth,-,1.06%,7.39%,-13.47%,-21.08%
Non-Operating Income (Expense),(17.91M),(20.4M),411.47M,485.15M,1.07B
Non-Operating Interest Income,-,-,-,-,-
Miscellaneous Non Operating Expense,(17.91M),(20.4M),411.47M,485.15M,1.07B
Equity in Affiliates (Pretax),-,-,-,-,-
Unusual Expense,1.69M,702K,-,-,16.77M
Pretax Income,456.01M,431.94M,939.44M,932.4M,1.4B
Pretax Income Growth,-,-5.28%,117.49%,-0.75%,50.26%
Pretax Margin,-,-,-,-,57.60%
Income Taxes,478K,878K,(2.28M),852K,915K
Income Tax - Current Domestic,-,-,2.56M,852K,915K
Income Tax - Current Foreign,-,-,-,-,-
Income Tax - Deferred Domestic,-,-,-,-,-
Income Tax - Deferred Foreign,-,-,-,-,-
Income Tax Credits,-,-,4.84M,-,-
Equity in Affiliates,(3.37M),(3.67M),65.95M,(3.28M),(3.4M)
Other After Tax Income (Expense),-,-,-,-,-
Consolidated Net Income,628.38M,685.19M,1.01B,962.5M,1.4B
Minority Interest Expense,24.93M,27.66M,39.33M,48.87M,63.86M
Net Income,603.45M,657.54M,970.38M,913.64M,1.33B
Net Income Growth,-,8.96%,47.58%,-5.85%,45.88%
Net Margin Growth,-,-,-,-,54.79%
Extraordinaries & Discontinued Operations,176.22M,257.8M,2.04M,34.23M,-
Extra Items & Gain/Loss Sale Of Assets,176.22M,257.8M,2.04M,34.23M,5K
Cumulative Effect - Accounting Chg,-,-,-,-,-
Discontinued Operations,-,-,-,-,-
Net Income After Extraordinaries,779.68M,915.33M,972.42M,947.87M,1.33B
Preferred Dividends,3.09M,3.09M,3.09M,3.09M,3.09M
Net Income Available to Common,424.14M,396.65M,965.24M,876.31M,1.33B
EPS (Basic),1.16,1.08,2.61,2.36,3.56
EPS (Basic) Growth,-,-6.76%,141.76%,-9.54%,50.92%
Basic Shares Outstanding,366.97M,368.05M,370.46M,371.79M,373.83M
EPS (Diluted),1.16,1.03,2.5,2.27,3.54
EPS (Diluted) Growth,-,-10.56%,141.68%,-9.11%,56.09%
Diluted Shares Outstanding,366.97M,383.7M,386.33M,385.87M,388.09M
